Value,Occurrences,Indices
112,3,"[40, 117, 143]"
115,1,[81]
116,1,[101]
118,1,[52]
120,3,"[76, 94, 113]"
122,1,[140]
123,1,[4]
125,2,"[0, 116]"
126,2,"[9, 54]"
128,2,"[10, 84]"
129,3,"[17, 109, 119]"
130,3,"[34, 96, 112]"
131,5,"[5, 8, 47, 75, 131]"
132,3,"[11, 62, 135]"
133,2,"[18, 92]"
134,3,"[108, 128, 139]"
135,4,"[35, 45, 79, 99]"
136,1,[55]
137,2,"[22, 44]"
138,1,[61]
139,7,"[43, 48, 59, 68, 83, 102, 107]"
140,2,"[6, 110]"
141,3,"[56, 82, 125]"
142,1,[23]
143,1,[129]
144,1,[105]
145,6,"[12, 57, 104, 122, 133, 145]"
146,1,[73]
148,1,[51]
149,5,"[14, 88, 93, 121, 124]"
150,1,[87]
151,1,[153]
152,1,[146]
153,1,[58]
154,1,[78]
155,3,"[60, 91, 134]"
158,1,[36]
159,4,"[20, 29, 37, 136]"
160,3,"[21, 130, 141]"
162,1,[7]
163,2,"[65, 126]"
165,3,"[15, 66, 74]"
168,1,[115]
169,4,"[27, 33, 90, 151]"
170,2,"[3, 19]"
172,2,"[63, 118]"
173,2,"[41, 46]"
174,2,"[31, 72]"
175,4,"[32, 95, 106, 120]"
176,1,[50]
177,1,[28]
178,1,[86]
179,1,[137]
181,1,[1]
183,2,"[16, 127]"
184,1,[30]
186,1,[64]
188,1,[85]
189,1,[25]
190,1,[70]
191,1,[42]
192,2,"[13, 152]"
194,2,"[38, 89]"
197,1,[142]
198,2,"[49, 80]"
199,1,[114]
201,1,[100]
202,2,"[39, 123]"
203,2,"[77, 103]"
204,1,[150]
208,1,[69]
209,1,[149]
210,2,"[97, 148]"
212,2,"[26, 71]"
215,3,"[53, 144, 147]"
218,6,"[24, 67, 98, 111, 132, 138]"
221,1,[2]
