Value,Occurrences,Indices
80,2,"[0, 4]"
84,11,"[6, 8, 17, 20, 22, 23, 28, 70, 89, 275, 471]"
108,4,"[9, 47, 58, 211]"
118,1,[5]
120,1,[383]
123,8,"[13, 64, 85, 114, 200, 219, 234, 258]"
125,1,[415]
128,1,[364]
129,1,[279]
130,3,"[172, 356, 472]"
131,3,"[124, 221, 468]"
132,1,[441]
134,1,[214]
135,4,"[55, 67, 136, 180]"
138,1,[137]
140,1,[453]
141,1,[473]
143,4,"[112, 213, 229, 231]"
144,1,[380]
146,4,"[14, 92, 185, 301]"
148,3,"[30, 84, 292]"
149,1,[266]
150,4,"[223, 297, 467, 469]"
151,6,"[35, 79, 96, 278, 320, 407]"
152,1,[390]
153,1,[435]
154,1,[372]
155,2,"[108, 470]"
156,5,"[204, 233, 289, 353, 423]"
157,3,"[327, 367, 451]"
158,3,"[24, 62, 342]"
159,1,[159]
161,1,[227]
162,4,"[32, 128, 381, 466]"
163,4,"[110, 189, 277, 463]"
164,2,"[434, 439]"
165,2,"[18, 165]"
166,5,"[50, 132, 179, 218, 392]"
167,4,"[145, 244, 262, 438]"
168,3,"[31, 33, 88]"
169,5,"[2, 235, 300, 403, 426]"
170,6,"[7, 52, 102, 195, 228, 460]"
171,5,"[29, 39, 43, 44, 461]"
173,6,"[90, 335, 358, 359, 378, 394]"
174,16,"[38, 109, 119, 160, 188, 256, 269, 272, 299, 305, 312, 313, 336, 337, 347, 350]"
175,3,"[166, 271, 402]"
176,15,"[41, 56, 71, 72, 87, 116, 174, 196, 205, 217, 230, 252, 283, 357, 410]"
177,6,"[158, 311, 325, 387, 389, 458]"
178,2,"[309, 406]"
179,8,"[68, 69, 78, 82, 104, 113, 317, 455]"
180,7,"[243, 267, 304, 322, 324, 363, 382]"
181,6,"[103, 130, 184, 270, 366, 409]"
182,34,"[11, 15, 19, 37, 49, 57, 60, 63, 66, 127, 142, 149, 154, 170, 178, 191, 197, 199, 203, 206, 212, 220, 226, 232, 239, 240, 247, 253, 310, 331, 334, 348, 371, 413]"
183,11,"[150, 284, 298, 303, 333, 373, 374, 417, 424, 429, 449]"
184,5,"[118, 280, 328, 431, 448]"
185,43,"[40, 53, 74, 83, 91, 93, 95, 97, 101, 105, 106, 107, 120, 121, 122, 133, 134, 135, 141, 146, 147, 148, 153, 161, 162, 163, 164, 168, 177, 187, 202, 216, 250, 263, 282, 286, 318, 338, 345, 346, 351, 360, 430]"
186,10,"[10, 171, 201, 208, 215, 242, 296, 349, 440, 457]"
187,8,"[138, 245, 246, 281, 343, 405, 408, 450]"
188,26,"[21, 42, 54, 59, 61, 73, 75, 86, 98, 99, 100, 111, 125, 126, 140, 194, 210, 287, 308, 314, 323, 329, 398, 401, 437, 444]"
189,9,"[123, 290, 302, 307, 340, 352, 404, 414, 454]"
190,17,"[3, 27, 76, 77, 80, 94, 139, 241, 288, 291, 306, 330, 385, 399, 418, 432, 446]"
191,43,"[26, 36, 45, 46, 65, 81, 115, 117, 129, 143, 144, 152, 155, 156, 157, 167, 169, 173, 175, 176, 181, 182, 183, 186, 190, 224, 225, 236, 237, 238, 248, 249, 251, 255, 257, 259, 260, 261, 344, 388, 419, 420, 465]"
192,16,"[12, 16, 25, 34, 48, 192, 209, 254, 264, 274, 276, 316, 326, 370, 421, 464]"
193,9,"[51, 151, 198, 222, 293, 341, 365, 391, 411]"
194,11,"[1, 268, 285, 332, 361, 376, 377, 384, 412, 425, 433]"
195,5,"[131, 207, 315, 321, 442]"
196,5,"[193, 355, 395, 397, 428]"
197,4,"[265, 294, 369, 379]"
198,5,"[295, 319, 396, 427, 462]"
199,6,"[273, 354, 362, 422, 443, 456]"
200,3,"[393, 445, 452]"
201,3,"[339, 375, 400]"
202,1,[386]
203,1,[436]
204,1,[459]
205,1,[416]
206,1,[447]
208,1,[368]
