Value,Occurrences,Indices
140,1,[19]
157,1,[41]
168,1,[52]
172,1,[9]
173,1,[46]
185,1,[2]
186,2,"[26, 60]"
192,1,[32]
193,1,[48]
197,1,[35]
199,1,[27]
200,1,[42]
201,1,[31]
202,1,[36]
205,1,[44]
206,1,[18]
207,2,"[3, 45]"
208,2,"[5, 49]"
209,2,"[34, 51]"
211,2,"[0, 28]"
212,1,[16]
213,3,"[7, 17, 53]"
217,2,"[33, 57]"
219,1,[13]
221,1,[23]
223,2,"[4, 47]"
227,1,[38]
230,1,[58]
232,1,[11]
233,1,[54]
234,1,[8]
238,1,[25]
239,1,[62]
241,1,[14]
244,1,[20]
245,1,[6]
246,1,[10]
247,1,[12]
249,5,"[24, 30, 43, 61, 63]"
250,11,"[15, 21, 22, 29, 37, 39, 40, 50, 55, 56, 59]"
251,1,[1]
