Value,Occurrences,Indices
101,1,[71]
106,1,[37]
107,2,"[4, 161]"
112,2,"[80, 171]"
117,1,[10]
119,1,[66]
121,3,"[0, 20, 121]"
123,1,[206]
128,4,"[5, 56, 196, 250]"
130,1,[169]
138,1,[225]
139,1,[1]
140,1,[128]
142,1,[139]
147,1,[197]
155,1,[252]
156,2,"[87, 251]"
160,2,"[38, 216]"
162,2,"[68, 138]"
163,2,"[25, 178]"
168,1,[118]
169,2,"[127, 194]"
170,1,[35]
172,2,"[72, 187]"
173,1,[140]
174,1,[64]
179,3,"[26, 110, 162]"
180,3,"[170, 243, 246]"
181,6,"[11, 29, 31, 47, 154, 172]"
182,2,"[122, 149]"
184,1,[103]
185,1,[248]
186,1,[188]
187,1,[217]
188,2,"[86, 221]"
189,3,"[48, 157, 195]"
190,1,[153]
191,2,"[15, 201]"
192,4,"[12, 28, 165, 177]"
193,4,"[114, 135, 193, 233]"
194,2,"[8, 108]"
195,3,"[32, 44, 242]"
196,2,"[34, 211]"
198,5,"[92, 134, 155, 159, 213]"
201,4,"[61, 84, 220, 249]"
202,3,"[51, 145, 166]"
203,4,"[52, 124, 144, 198]"
205,4,"[41, 164, 224, 236]"
206,3,"[6, 160, 207]"
207,1,[143]
208,4,"[60, 142, 181, 208]"
209,1,[22]
210,1,[36]
211,2,"[120, 205]"
212,3,"[53, 123, 227]"
214,1,[49]
215,2,"[79, 192]"
216,2,"[75, 152]"
217,1,[158]
218,3,"[7, 141, 190]"
219,1,[54]
220,5,"[14, 63, 88, 126, 168]"
221,1,[99]
222,2,"[232, 238]"
223,2,"[131, 204]"
224,3,"[21, 23, 222]"
225,3,"[101, 109, 215]"
226,4,"[30, 203, 209, 241]"
227,1,[235]
228,5,"[59, 65, 78, 136, 182]"
229,2,"[100, 244]"
230,3,"[214, 230, 234]"
231,2,"[45, 104]"
232,3,"[55, 96, 219]"
233,1,[226]
234,3,"[46, 189, 228]"
235,1,[93]
236,6,"[102, 150, 174, 179, 199, 253]"
237,1,[240]
238,2,"[42, 82]"
239,2,"[125, 167]"
240,6,"[9, 13, 117, 156, 163, 183]"
241,1,[176]
242,6,"[24, 67, 130, 146, 200, 202]"
243,5,"[57, 89, 180, 191, 212]"
244,5,"[18, 83, 210, 218, 231]"
245,6,"[50, 73, 95, 119, 132, 247]"
246,4,"[81, 107, 148, 223]"
247,4,"[2, 17, 43, 239]"
248,1,[175]
249,2,"[85, 106]"
250,5,"[74, 76, 91, 94, 97]"
251,6,"[16, 39, 40, 70, 112, 137]"
252,12,"[19, 27, 62, 77, 115, 129, 151, 173, 184, 185, 229, 245]"
253,7,"[69, 90, 98, 113, 147, 186, 237]"
254,6,"[33, 58, 105, 111, 116, 133]"
255,1,[3]
