Value,Occurrences,Indices
105,9,"[176, 1053, 1058, 2014, 2182, 2414, 2759, 2828, 3050]"
106,48,"[103, 119, 127, 142, 215, 281, 282, 286, 291, 306, 679, 851, 901, 913, 936, 1187, 1227, 1268, 1281, 1309, 1317, 1362, 1395, 1421, 1426, 1435, 1510, 1562, 1597, 1643, 1717, 1743, 1841, 1848, 1964, 2154, 2252, 2326, 2484, 2542, 2562, 2664, 2932, 2960, 2971, 3000, 3039, 3082]"
107,27,"[68, 69, 153, 157, 158, 166, 199, 221, 269, 323, 535, 622, 716, 798, 959, 1079, 1645, 1734, 1908, 2292, 2319, 2454, 2566, 2874, 2997, 3025, 3077]"
108,31,"[21, 52, 163, 263, 431, 517, 587, 771, 814, 815, 871, 918, 1165, 1169, 1451, 1470, 1553, 1708, 2051, 2306, 2373, 2422, 2529, 2581, 2583, 2789, 2938, 3026, 3038, 3073, 3130]"
109,71,"[15, 48, 56, 278, 308, 380, 467, 562, 642, 686, 723, 794, 795, 883, 960, 1008, 1088, 1141, 1152, 1205, 1213, 1241, 1251, 1275, 1291, 1295, 1326, 1341, 1351, 1383, 1384, 1402, 1404, 1416, 1437, 1489, 1495, 1540, 1567, 1608, 1609, 1655, 1673, 1692, 1765, 1860, 1945, 1973, 2001, 2036, 2147, 2232, 2254, 2377, 2417, 2434, 2599, 2659, 2717, 2723, 2739, 2745, 2783, 2815, 2820, 2926, 2976, 3027, 3051, 3103, 3107]"
110,68,"[33, 62, 78, 82, 147, 156, 170, 201, 236, 292, 326, 345, 365, 385, 460, 488, 518, 549, 607, 632, 648, 680, 755, 764, 782, 833, 850, 929, 949, 1059, 1078, 1092, 1131, 1146, 1179, 1265, 1320, 1335, 1425, 1452, 1459, 1480, 1493, 1542, 1545, 1604, 1623, 1639, 1726, 1802, 1846, 1887, 1965, 2081, 2153, 2223, 2281, 2286, 2300, 2345, 2367, 2464, 2494, 2548, 2609, 2747, 3045, 3089]"
111,118,"[4, 30, 40, 46, 57, 95, 109, 175, 208, 227, 229, 248, 250, 252, 259, 288, 295, 398, 406, 421, 445, 544, 560, 565, 583, 602, 657, 687, 715, 733, 736, 757, 785, 805, 858, 869, 886, 900, 957, 982, 1010, 1014, 1048, 1056, 1062, 1132, 1178, 1215, 1243, 1271, 1274, 1324, 1339, 1417, 1423, 1443, 1490, 1492, 1511, 1590, 1632, 1651, 1652, 1686, 1702, 1750, 1798, 1870, 1872, 1876, 1934, 1948, 1966, 1993, 2013, 2024, 2121, 2131, 2165, 2169, 2404, 2437, 2453, 2456, 2488, 2491, 2499, 2504, 2522, 2534, 2611, 2624, 2627, 2642, 2690, 2701, 2722, 2727, 2729, 2742, 2770, 2790, 2824, 2827, 2829, 2835, 2847, 2853, 2883, 2897, 2922, 2925, 2944, 2973, 2977, 3023, 3037, 3093]"
112,145,"[27, 36, 44, 50, 70, 80, 113, 114, 128, 131, 219, 234, 266, 267, 277, 284, 285, 296, 338, 349, 366, 368, 411, 425, 443, 444, 456, 571, 572, 616, 618, 639, 660, 662, 670, 677, 704, 712, 756, 775, 783, 797, 822, 844, 857, 862, 875, 903, 915, 961, 973, 989, 1047, 1091, 1111, 1113, 1114, 1171, 1175, 1190, 1192, 1193, 1234, 1237, 1249, 1258, 1273, 1282, 1284, 1299, 1315, 1331, 1353, 1360, 1382, 1457, 1460, 1509, 1576, 1619, 1661, 1667, 1682, 1701, 1735, 1740, 1774, 1775, 1790, 1794, 1808, 1858, 1871, 1883, 1902, 1990, 2004, 2020, 2021, 2031, 2034, 2052, 2080, 2089, 2114, 2172, 2196, 2222, 2239, 2304, 2351, 2401, 2421, 2441, 2444, 2457, 2460, 2465, 2482, 2508, 2524, 2526, 2536, 2558, 2564, 2582, 2670, 2679, 2698, 2843, 2850, 2854, 2890, 2904, 2927, 2931, 2956, 2974, 3008, 3013, 3024, 3054, 3058, 3090, 3108]"
113,63,"[13, 99, 272, 283, 290, 341, 374, 523, 532, 556, 667, 701, 772, 832, 860, 898, 1083, 1102, 1120, 1191, 1214, 1252, 1306, 1316, 1329, 1433, 1477, 1496, 1551, 1611, 1654, 1693, 1812, 1833, 1836, 1852, 1930, 1959, 1989, 2132, 2146, 2179, 2316, 2337, 2347, 2355, 2381, 2527, 2541, 2553, 2554, 2640, 2668, 2740, 2757, 2793, 2803, 2852, 2908, 3022, 3053, 3056, 3069]"
114,123,"[26, 67, 76, 87, 90, 93, 117, 150, 171, 195, 237, 273, 274, 298, 373, 419, 430, 447, 468, 479, 515, 516, 521, 534, 542, 569, 577, 621, 625, 628, 645, 691, 699, 732, 765, 802, 803, 810, 816, 839, 848, 853, 864, 882, 884, 912, 919, 927, 947, 974, 990, 1017, 1041, 1042, 1105, 1108, 1135, 1157, 1159, 1196, 1219, 1224, 1225, 1232, 1304, 1332, 1469, 1512, 1535, 1547, 1572, 1587, 1612, 1613, 1633, 1672, 1738, 1746, 1781, 1793, 1910, 1921, 1943, 1953, 1970, 1994, 2059, 2090, 2104, 2117, 2127, 2150, 2270, 2279, 2280, 2305, 2310, 2374, 2406, 2424, 2430, 2492, 2496, 2528, 2569, 2576, 2608, 2618, 2630, 2635, 2661, 2693, 2734, 2743, 2830, 2885, 2929, 2966, 2967, 2969, 3003, 3020, 3028]"
