Value,Occurrences,Indices
124,1,[277]
128,2,"[1833, 2438]"
130,1,[346]
131,3,"[78, 127, 1680]"
132,4,"[129, 1165, 1218, 1844]"
133,5,"[1260, 1302, 1508, 1627, 1846]"
134,4,"[729, 2180, 2488, 2592]"
135,4,"[1034, 1272, 1340, 1696]"
136,12,"[117, 445, 463, 721, 868, 1266, 1550, 1691, 1783, 2075, 2236, 2467]"
137,10,"[128, 480, 799, 970, 1780, 1983, 2100, 2466, 2489, 2590]"
138,10,"[79, 136, 419, 753, 786, 793, 875, 976, 1499, 1663]"
139,11,"[221, 245, 814, 990, 1035, 1095, 1866, 1992, 2409, 2433, 2548]"
140,9,"[77, 212, 618, 1159, 1180, 1246, 1819, 2208, 2380]"
141,13,"[201, 394, 400, 472, 507, 1130, 1239, 1303, 1537, 1712, 1869, 1912, 2221]"
142,18,"[83, 357, 375, 493, 569, 908, 962, 1194, 1228, 1265, 1332, 1784, 1959, 1987, 2037, 2176, 2346, 2402]"
143,10,"[308, 816, 1424, 1569, 1941, 2002, 2113, 2327, 2340, 2455]"
144,10,"[74, 1445, 1446, 1501, 1749, 1850, 2027, 2076, 2406, 2576]"
145,17,"[44, 55, 272, 543, 1164, 1176, 1198, 1539, 1548, 1815, 1822, 2090, 2121, 2296, 2300, 2341, 2432]"
146,20,"[40, 381, 446, 519, 539, 598, 718, 1008, 1078, 1273, 1327, 1335, 1540, 1570, 1949, 2126, 2201, 2214, 2475, 2526]"
147,10,"[149, 469, 520, 666, 1370, 1393, 1636, 2052, 2106, 2292]"
148,8,"[147, 155, 556, 1222, 1538, 2089, 2135, 2211]"
149,14,"[181, 383, 530, 656, 815, 1161, 1413, 1565, 1759, 1770, 1900, 2004, 2210, 2445]"
150,10,"[271, 276, 311, 410, 670, 806, 832, 2047, 2087, 2114]"
151,10,"[857, 880, 1418, 1653, 1950, 1986, 2118, 2276, 2286, 2348]"
152,12,"[122, 385, 406, 929, 1754, 1842, 1907, 2084, 2235, 2303, 2493, 2572]"
153,12,"[30, 368, 413, 443, 1109, 1360, 1395, 1503, 1905, 1939, 2271, 2574]"
154,13,"[292, 751, 866, 987, 1099, 1113, 1250, 1428, 1615, 1646, 1710, 2048, 2519]"
