Value,Occurrences,Indices
105,2,"[1583, 2506]"
106,4,"[73, 947, 1504, 2589]"
107,9,"[35, 36, 58, 138, 2004, 2014, 2090, 2103, 2325]"
109,16,"[228, 548, 791, 1090, 1110, 1215, 1352, 1842, 1868, 1954, 2304, 2425, 2479, 2591, 2708, 2925]"
110,25,"[87, 125, 178, 206, 321, 448, 557, 870, 882, 965, 1003, 1190, 1710, 1932, 2070, 2105, 2287, 2303, 2540, 2575, 2647, 2842, 2894, 2935, 3021]"
111,13,"[472, 565, 671, 863, 1681, 2008, 2228, 2302, 2413, 2652, 2795, 2858, 3022]"
112,19,"[43, 234, 243, 398, 422, 500, 586, 744, 766, 780, 1238, 1253, 1421, 1446, 2417, 2469, 2653, 2764, 2926]"
113,32,"[76, 114, 166, 335, 421, 454, 672, 832, 993, 1012, 1051, 1081, 1093, 1100, 1131, 1140, 1192, 1224, 1290, 1296, 1298, 1426, 1494, 1520, 1539, 1578, 1593, 2171, 2222, 2642, 2892, 3012]"
114,42,"[89, 120, 130, 305, 315, 332, 361, 426, 429, 466, 481, 613, 636, 643, 662, 674, 693, 724, 886, 1219, 1338, 1473, 1497, 1541, 1591, 1646, 1767, 1864, 1870, 1935, 1941, 1952, 1972, 2057, 2368, 2385, 2465, 2519, 2629, 2670, 2915, 3037]"
115,47,"[44, 64, 84, 88, 126, 135, 272, 384, 439, 637, 743, 781, 906, 1166, 1243, 1489, 1605, 1654, 1692, 1696, 1752, 1780, 1893, 1950, 1993, 1997, 2001, 2060, 2137, 2256, 2265, 2294, 2297, 2332, 2334, 2390, 2396, 2415, 2546, 2569, 2601, 2715, 2717, 2768, 2779, 2815, 3024]"
116,51,"[75, 121, 149, 348, 377, 414, 423, 425, 495, 496, 504, 632, 720, 829, 849, 881, 1088, 1116, 1127, 1172, 1400, 1487, 1508, 1514, 1550, 1647, 1731, 1772, 1784, 1801, 1891, 1934, 1987, 2007, 2028, 2030, 2117, 2165, 2173, 2214, 2219, 2326, 2505, 2630, 2705, 2707, 2785, 2841, 2934, 3007, 3050]"
117,60,"[128, 224, 318, 320, 323, 390, 435, 456, 463, 535, 573, 589, 629, 764, 838, 867, 929, 938, 961, 1086, 1158, 1171, 1250, 1252, 1322, 1373, 1397, 1461, 1528, 1563, 1602, 1634, 1643, 1683, 1765, 1903, 1916, 1998, 2006, 2017, 2042, 2065, 2069, 2104, 2109, 2113, 2121, 2134, 2147, 2157, 2177, 2246, 2266, 2346, 2484, 2587, 2598, 2723, 2960, 2987]"
118,64,"[102, 132, 189, 236, 333, 374, 380, 506, 507, 547, 581, 681, 718, 762, 908, 927, 953, 985, 1045, 1113, 1180, 1240, 1299, 1336, 1351, 1364, 1546, 1553, 1555, 1604, 1624, 1649, 1736, 1756, 1764, 1786, 1881, 1951, 2012, 2039, 2125, 2275, 2310, 2341, 2351, 2455, 2470, 2529, 2551, 2553, 2686, 2692, 2698, 2713, 2719, 2740, 2799, 2819, 2893, 2908, 2917, 2927, 2963, 2968]"
119,72,"[18, 32, 157, 168, 225, 259, 281, 299, 304, 350, 354, 399, 405, 664, 670, 675, 765, 776, 797, 820, 896, 905, 912, 983, 1143, 1162, 1194, 1205, 1262, 1333, 1347, 1358, 1382, 1454, 1581, 1648, 1691, 1725, 1730, 1734, 1805, 1815, 1818, 1829, 1833, 1872, 1983, 2019, 2059, 2164, 2181, 2185, 2291, 2361, 2386, 2392, 2409, 2420, 2430, 2434, 2495, 2543, 2550, 2660, 2668, 2671, 2680, 2914, 2948, 2975, 2993, 2999]"
120,62,"[2, 42, 48, 70, 161, 174, 202, 219, 314, 325, 372, 382, 449, 498, 513, 601, 626, 728, 945, 989, 995, 1025, 1075, 1083, 1188, 1242, 1281, 1300, 1359, 1374, 1389, 1469, 1595, 1629, 1644, 1707, 1843, 1913, 1947, 2061, 2161, 2215, 2258, 2322, 2412, 2462, 2504, 2544, 2607, 2703, 2704, 2727, 2774, 2790, 2822, 2871, 2878, 2918, 2933, 2940, 2952, 3017]"
121,57,"[50, 56, 107, 144, 155, 213, 276, 311, 312, 367, 480, 532, 576, 615, 940, 975, 978, 1019, 1076, 1094, 1098, 1118, 1248, 1279, 1284, 1365, 1403, 1460, 1510, 1552, 1665, 1684, 1768, 1927, 1996, 2021, 2038, 2049, 2081, 2115, 2513, 2515, 2542, 2545, 2573, 2618, 2627, 2746, 2747, 2798, 2817, 2830, 2847, 2879, 2886, 3042, 3058]"
122,63,"[27, 30, 99, 110, 112, 169, 187, 253, 324, 394, 447, 458, 484, 521, 556, 561, 622, 694, 696, 706, 715, 769, 777, 1185, 1203, 1405, 1534, 1567, 1635, 1689, 1761, 1816, 1875, 1942, 1980, 1999, 2142, 2144, 2196, 2242, 2269, 2323, 2373, 2394, 2418, 2535, 2552, 2571, 2581, 2599, 2611, 2641, 2700, 2724, 2744, 2775, 2829, 2873, 2898, 2928, 2970, 3040, 3062]"
123,85,"[29, 163, 171, 195, 209, 233, 250, 258, 267, 301, 440, 489, 505, 536, 627, 628, 630, 648, 836, 887, 894, 920, 933, 937, 955, 1014, 1026, 1049, 1065, 1126, 1145, 1163, 1169, 1187, 1257, 1268, 1308, 1398, 1455, 1526, 1530, 1601, 1652, 1673, 1674, 1747, 1792, 1802, 1844, 1847, 1889, 1897, 1920, 1939, 2020, 2022, 2067, 2079, 2148, 2151, 2155, 2282, 2383, 2452, 2473, 2497, 2548, 2555, 2559, 2603, 2617, 2666, 2669, 2673, 2687, 2696, 2725, 2732, 2757, 2818, 2854, 2901, 2937, 2939, 2992]"
124,70,"[68, 90, 98, 188, 265, 307, 309, 352, 356, 434, 545, 564, 591, 688, 710, 771, 808, 902, 924, 990, 1028, 1067, 1099, 1175, 1245, 1254, 1278, 1304, 1329, 1334, 1402, 1409, 1447, 1486, 1502, 1506, 1521, 1745, 1746, 1755, 1759, 1848, 1852, 1894, 1912, 1968, 2018, 2029, 2044, 2100, 2107, 2149, 2207, 2285, 2324, 2350, 2355, 2380, 2421, 2454, 2464, 2520, 2561, 2636, 2681, 2755, 2758, 2903, 2981, 3060]"
125,86,"[47, 52, 78, 86, 97, 215, 235, 285, 289, 292, 293, 378, 385, 397, 574, 603, 616, 642, 651, 656, 680, 748, 753, 850, 864, 915, 916, 954, 1005, 1021, 1022, 1035, 1070, 1097, 1108, 1151, 1200, 1233, 1269, 1303, 1313, 1335, 1377, 1408, 1414, 1424, 1519, 1533, 1618, 1663, 1677, 1700, 1744, 1839, 1886, 1904, 1976, 1981, 2013, 2046, 2064, 2099, 2126, 2145, 2156, 2206, 2225, 2235, 2331, 2333, 2343, 2363, 2408, 2438, 2460, 2487, 2499, 2585, 2684, 2739, 2751, 2752, 2976, 2980, 2982, 3023]"
126,42,"[111, 123, 137, 227, 308, 345, 411, 415, 452, 734, 738, 751, 794, 831, 884, 996, 1006, 1071, 1101, 1451, 1459, 1472, 1513, 1660, 1702, 1718, 1776, 1977, 1991, 2102, 2211, 2270, 2278, 2348, 2405, 2429, 2490, 2530, 2586, 2876, 2949, 2953]"
127,43,"[53, 140, 353, 410, 669, 684, 731, 752, 840, 868, 880, 934, 1046, 1068, 1124, 1155, 1157, 1173, 1230, 1276, 1476, 1562, 1580, 1690, 1726, 1783, 1866, 1978, 2035, 2047, 2260, 2274, 2313, 2381, 2528, 2533, 2761, 2772, 2778, 2863, 2936, 2979, 3014]"
128,38,"[41, 122, 341, 404, 488, 523, 646, 775, 853, 971, 1133, 1141, 1149, 1275, 1301, 1360, 1368, 1369, 1386, 1547, 1549, 1621, 1688, 1698, 1773, 1855, 1892, 1928, 1979, 2009, 2283, 2349, 2486, 2502, 2527, 2638, 2654, 2831]"
129,51,"[66, 106, 183, 294, 417, 450, 471, 666, 692, 756, 759, 767, 948, 960, 964, 1004, 1038, 1120, 1353, 1441, 1480, 1509, 1538, 1559, 1565, 1596, 1709, 1727, 1787, 1820, 1832, 1905, 2002, 2032, 2108, 2189, 2239, 2292, 2299, 2330, 2340, 2369, 2432, 2572, 2577, 2659, 2797, 2826, 2861, 2955, 3000]"
