Value,Occurrences,Indices
80,5,"[1, 3, 8, 25, 231]"
81,7,"[35, 64, 85, 161, 173, 175, 195]"
84,13,"[2, 4, 9, 10, 11, 12, 15, 16, 18, 19, 23, 24, 166]"
87,1,[48]
88,2,"[17, 61]"
98,1,[71]
102,1,[215]
103,1,[58]
104,1,[81]
107,1,[93]
108,87,"[45, 53, 59, 60, 66, 67, 68, 73, 74, 75, 83, 89, 97, 100, 103, 108, 109, 110, 112, 113, 119, 120, 123, 124, 133, 142, 145, 147, 153, 167, 169, 170, 178, 179, 181, 184, 185, 189, 190, 192, 196, 197, 201, 206, 207, 208, 213, 216, 217, 223, 229, 230, 233, 238, 242, 244, 245, 246, 249, 250, 251, 253, 257, 259, 263, 265, 271, 273, 277, 278, 279, 280, 283, 284, 287, 291, 292, 293, 295, 301, 302, 304, 308, 313, 314, 317, 318]"
110,2,"[14, 31]"
114,2,"[21, 49]"
116,1,[102]
123,110,"[7, 27, 28, 46, 52, 54, 55, 65, 72, 77, 79, 82, 87, 88, 91, 95, 96, 98, 101, 105, 107, 115, 116, 117, 121, 126, 127, 129, 130, 131, 132, 134, 135, 136, 138, 139, 140, 143, 144, 146, 148, 149, 152, 155, 157, 158, 160, 163, 164, 165, 171, 172, 174, 176, 183, 187, 188, 191, 198, 199, 200, 203, 209, 210, 211, 212, 218, 219, 220, 222, 224, 226, 227, 234, 235, 237, 239, 240, 241, 243, 247, 248, 252, 255, 256, 258, 260, 264, 266, 267, 268, 269, 270, 272, 276, 281, 285, 286, 288, 290, 294, 297, 299, 300, 307, 309, 310, 311, 315, 319]"
124,1,[186]
125,2,"[20, 159]"
128,3,"[26, 38, 125]"
130,20,"[30, 32, 41, 44, 78, 84, 118, 128, 141, 151, 156, 194, 228, 232, 236, 261, 282, 296, 298, 306]"
131,3,"[36, 43, 275]"
132,1,[34]
133,1,[39]
134,1,[29]
135,3,"[50, 193, 305]"
136,2,"[40, 180]"
137,1,[90]
138,5,"[0, 57, 62, 80, 104]"
140,1,[13]
142,1,[33]
143,5,"[47, 76, 137, 225, 289]"
144,1,[69]
145,2,"[51, 92]"
146,1,[56]
147,1,[162]
148,1,[70]
150,1,[114]
151,2,"[6, 42]"
154,1,[22]
156,1,[168]
158,2,"[86, 94]"
164,1,[303]
166,1,[154]
167,2,"[182, 316]"
168,7,"[37, 99, 150, 214, 262, 274, 312]"
170,1,[204]
173,1,[202]
174,2,"[106, 221]"
178,1,[111]
183,1,[205]
187,2,"[122, 254]"
189,1,[177]
196,1,[5]
201,1,[63]
