Value,Occurrences,Indices
119,1,[887]
120,1,[2047]
122,5,"[65, 1043, 1197, 1317, 2751]"
123,2,"[1161, 2567]"
125,5,"[111, 424, 1192, 1481, 2132]"
126,3,"[253, 482, 2504]"
127,3,"[68, 396, 1459]"
128,14,"[37, 66, 191, 629, 866, 1287, 1727, 1864, 2098, 2207, 2315, 2459, 2639, 2768]"
129,12,"[48, 78, 299, 650, 851, 1148, 1373, 1497, 1923, 1978, 2050, 2677]"
130,10,"[418, 423, 919, 1181, 1453, 1556, 1627, 1758, 2406, 2662]"
131,15,"[175, 342, 541, 572, 682, 753, 1200, 1466, 1515, 2116, 2367, 2480, 2704, 2711, 2801]"
132,26,"[1, 39, 393, 419, 516, 563, 570, 901, 1014, 1204, 1376, 1590, 1618, 1661, 1712, 1902, 2305, 2337, 2387, 2458, 2678, 2740, 2802, 2840, 2852, 2902]"
133,21,"[91, 324, 346, 431, 574, 993, 1044, 1198, 1400, 1584, 1644, 1710, 1742, 1830, 2057, 2144, 2209, 2336, 2338, 2670, 2855]"
134,28,"[178, 227, 353, 381, 435, 743, 846, 873, 1027, 1276, 1382, 1770, 1785, 1845, 1855, 1892, 1972, 1984, 1990, 2013, 2043, 2184, 2306, 2393, 2455, 2608, 2618, 2696]"
135,23,"[135, 273, 433, 867, 1056, 1070, 1184, 1340, 1352, 1399, 1517, 1755, 1782, 1962, 2009, 2054, 2175, 2240, 2361, 2437, 2502, 2630, 2638]"
136,25,"[0, 96, 105, 126, 490, 536, 558, 566, 638, 756, 759, 845, 930, 1345, 1484, 1511, 1666, 1680, 1893, 2148, 2321, 2386, 2471, 2881, 2894]"
137,33,"[76, 86, 141, 167, 185, 249, 334, 355, 439, 485, 651, 747, 953, 972, 1021, 1078, 1215, 1222, 1236, 1409, 1514, 1616, 1623, 1783, 2012, 2123, 2224, 2325, 2368, 2423, 2501, 2596, 2667]"
138,38,"[9, 15, 206, 472, 476, 499, 508, 581, 779, 800, 857, 1000, 1063, 1225, 1290, 1294, 1494, 1577, 1652, 1677, 1814, 1822, 1848, 2008, 2010, 2089, 2104, 2115, 2134, 2158, 2163, 2335, 2418, 2442, 2701, 2747, 2832, 2854]"
139,36,"[43, 53, 148, 364, 443, 547, 569, 627, 705, 752, 810, 862, 864, 888, 962, 1109, 1203, 1206, 1231, 1283, 1411, 1436, 1486, 1522, 1576, 1701, 1736, 1829, 1988, 2002, 2046, 2108, 2537, 2644, 2718, 2926]"
140,32,"[195, 202, 256, 261, 276, 621, 628, 726, 881, 916, 1066, 1115, 1437, 1458, 1539, 1619, 1773, 1827, 1860, 1921, 1933, 1943, 2085, 2096, 2113, 2177, 2183, 2340, 2488, 2640, 2716, 2913]"
141,47,"[30, 97, 204, 225, 245, 286, 367, 415, 487, 513, 607, 688, 695, 740, 826, 922, 968, 1008, 1087, 1102, 1179, 1186, 1219, 1230, 1321, 1384, 1435, 1451, 1487, 1501, 1523, 1534, 1671, 1682, 1708, 1771, 1811, 1905, 2059, 2218, 2287, 2358, 2467, 2572, 2626, 2816, 2891]"
142,44,"[12, 25, 36, 115, 136, 291, 303, 392, 479, 522, 735, 770, 782, 787, 908, 1154, 1183, 1308, 1469, 1480, 1597, 1601, 1696, 1776, 1800, 1870, 1904, 1929, 2099, 2107, 2140, 2182, 2214, 2234, 2249, 2294, 2346, 2362, 2440, 2579, 2732, 2767, 2791, 2888]"
143,38,"[22, 288, 345, 350, 539, 623, 773, 815, 896, 942, 1042, 1068, 1139, 1185, 1319, 1489, 1505, 1545, 1628, 1743, 1745, 1991, 2023, 2028, 2109, 2110, 2128, 2143, 2245, 2543, 2549, 2577, 2641, 2642, 2646, 2656, 2738, 2749]"
144,42,"[3, 95, 134, 347, 397, 422, 471, 524, 634, 669, 712, 835, 966, 1002, 1030, 1075, 1209, 1286, 1418, 1430, 1560, 1586, 1748, 1798, 1889, 1965, 1989, 2185, 2291, 2298, 2320, 2327, 2404, 2428, 2582, 2593, 2604, 2706, 2744, 2755, 2839, 2896]"
145,49,"[13, 47, 49, 151, 172, 218, 246, 257, 359, 395, 401, 505, 544, 745, 788, 799, 927, 963, 971, 977, 1167, 1237, 1358, 1383, 1396, 1428, 1468, 1524, 1552, 1674, 1797, 1799, 1813, 1880, 1941, 1963, 1981, 2156, 2172, 2205, 2267, 2280, 2314, 2430, 2485, 2503, 2620, 2655, 2924]"
146,32,"[40, 85, 100, 217, 278, 354, 357, 370, 386, 391, 427, 533, 663, 769, 890, 1054, 1299, 1363, 1510, 1513, 1620, 1646, 1665, 1670, 1718, 2019, 2073, 2190, 2434, 2515, 2558, 2916]"
