Value,Occurrences,Indices
115,22,"[102, 113, 215, 269, 389, 497, 662, 919, 925, 983, 997, 1062, 1184, 1478, 1772, 1896, 1953, 2197, 2250, 2805, 2921, 2999]"
117,20,"[142, 154, 270, 352, 439, 455, 467, 565, 577, 583, 1154, 1249, 1492, 1537, 1905, 1958, 2031, 2043, 2528, 2663]"
118,16,"[54, 156, 331, 569, 716, 841, 1107, 1436, 1704, 1762, 1992, 2119, 2215, 2217, 2361, 3000]"
119,11,"[80, 909, 1135, 1299, 1626, 1734, 1819, 1874, 2061, 2345, 2865]"
120,15,"[61, 84, 272, 385, 553, 626, 630, 646, 835, 843, 1014, 1025, 1458, 1615, 2619]"
121,41,"[72, 89, 91, 138, 172, 185, 328, 330, 533, 622, 693, 700, 784, 856, 910, 953, 1043, 1136, 1178, 1199, 1400, 1444, 1546, 1633, 1712, 1739, 1750, 1810, 2003, 2008, 2087, 2295, 2334, 2351, 2550, 2582, 2614, 2689, 2824, 2869, 3028]"
122,26,"[49, 66, 321, 420, 458, 483, 604, 689, 897, 1092, 1093, 1469, 1474, 1477, 1480, 1696, 1986, 2080, 2088, 2103, 2224, 2306, 2329, 2690, 2884, 3030]"
123,12,"[144, 211, 425, 509, 1113, 1531, 1711, 1815, 1946, 2604, 2700, 2925]"
124,10,"[20, 316, 336, 398, 537, 870, 1082, 1347, 1733, 2511]"
125,20,"[263, 315, 356, 382, 517, 532, 676, 970, 1182, 1216, 1235, 1282, 1745, 1758, 1835, 2013, 2114, 2122, 2444, 2912]"
126,9,"[414, 752, 963, 1173, 1239, 2066, 2607, 2746, 2993]"
127,14,"[1, 70, 130, 228, 354, 699, 889, 993, 1593, 1672, 1951, 2067, 2130, 2984]"
128,51,"[126, 137, 194, 230, 257, 266, 475, 481, 628, 708, 730, 746, 812, 1006, 1032, 1159, 1163, 1181, 1190, 1219, 1392, 1398, 1405, 1440, 1446, 1538, 1606, 1662, 1752, 1818, 1886, 2069, 2077, 2104, 2109, 2193, 2229, 2414, 2538, 2679, 2680, 2682, 2734, 2782, 2844, 2872, 2888, 2893, 2922, 3010, 3014]"
129,11,"[176, 309, 451, 793, 1099, 1756, 1837, 2018, 2194, 2318, 2983]"
130,20,"[21, 107, 638, 991, 1028, 1103, 1183, 1231, 1552, 1580, 1621, 1850, 2004, 2274, 2294, 2462, 2713, 2733, 2794, 2932]"
131,26,"[81, 209, 260, 368, 427, 474, 479, 518, 1105, 1306, 1443, 1673, 1934, 2024, 2177, 2447, 2469, 2541, 2559, 2576, 2675, 2697, 2816, 2876, 2988, 3017]"
132,25,"[133, 302, 632, 656, 805, 817, 838, 980, 1009, 1079, 1192, 1291, 1310, 1578, 1666, 1796, 1907, 1939, 1994, 2146, 2226, 2430, 2751, 2813, 2868]"
133,31,"[117, 169, 262, 378, 636, 707, 860, 906, 957, 1080, 1120, 1244, 1849, 1871, 1952, 1971, 2035, 2166, 2271, 2285, 2300, 2412, 2435, 2565, 2594, 2672, 2738, 2898, 2903, 3025, 3051]"
134,37,"[19, 59, 247, 282, 285, 286, 317, 377, 526, 529, 684, 783, 830, 877, 933, 1171, 1195, 1204, 1377, 1431, 1476, 1519, 1634, 1978, 1979, 2320, 2331, 2343, 2354, 2468, 2540, 2766, 2821, 2879, 2924, 2951, 3048]"
135,18,"[274, 278, 521, 561, 781, 797, 879, 1468, 1500, 1583, 1901, 1910, 1918, 1938, 2029, 2225, 2405, 2667]"
136,29,"[16, 334, 768, 892, 967, 971, 1055, 1124, 1125, 1223, 1228, 1263, 1288, 1418, 1517, 1576, 1809, 1911, 1977, 2106, 2152, 2212, 2319, 2570, 2637, 2761, 2842, 2874, 2916]"
137,40,"[27, 122, 508, 556, 557, 603, 719, 836, 969, 987, 1179, 1229, 1283, 1328, 1415, 1544, 1548, 1651, 1671, 1708, 1800, 1954, 2079, 2084, 2163, 2239, 2243, 2322, 2427, 2539, 2601, 2694, 2709, 2808, 2845, 2897, 2905, 2959, 2971, 3052]"
138,50,"[116, 173, 409, 436, 470, 640, 673, 792, 861, 903, 1220, 1257, 1286, 1329, 1402, 1424, 1482, 1527, 1530, 1588, 1703, 1717, 1743, 1794, 1845, 1925, 1965, 2017, 2210, 2211, 2228, 2255, 2333, 2438, 2466, 2611, 2630, 2638, 2642, 2658, 2718, 2739, 2765, 2839, 2866, 2867, 2875, 2878, 2945, 3032]"
139,26,"[93, 105, 120, 171, 208, 353, 476, 608, 668, 800, 918, 1149, 1234, 1738, 1777, 1820, 1927, 2175, 2276, 2366, 2425, 2595, 2629, 2651, 3020, 3043]"
140,15,"[520, 1148, 1175, 1211, 1352, 1433, 1535, 1684, 1792, 1805, 1848, 1960, 2028, 2257, 2989]"
141,25,"[313, 491, 606, 679, 832, 890, 1096, 1161, 1308, 1365, 1376, 1838, 1862, 1999, 2058, 2099, 2170, 2220, 2265, 2349, 2385, 2445, 2719, 2750, 2975]"
142,27,"[32, 338, 447, 536, 945, 947, 977, 1132, 1413, 1498, 1501, 1614, 1631, 1694, 1770, 1855, 1942, 1947, 2037, 2064, 2291, 2328, 2530, 2574, 2640, 2899, 2914]"
143,13,"[373, 399, 573, 634, 642, 745, 1169, 1237, 1577, 1751, 2532, 2544, 2749]"
144,20,"[8, 213, 225, 728, 767, 845, 875, 911, 950, 1072, 1470, 1865, 1974, 2158, 2418, 2475, 2478, 2481, 2482, 2621]"
145,6,"[1091, 1309, 1917, 2041, 2089, 2464]"
146,10,"[177, 350, 1110, 1271, 1290, 1427, 1808, 2368, 2835, 2851]"
147,7,"[386, 460, 644, 1497, 1763, 1846, 1916]"
148,8,"[443, 511, 844, 847, 988, 2240, 2536, 2759]"
149,10,"[111, 115, 471, 579, 826, 1052, 1449, 1932, 1943, 2557]"
150,8,"[901, 1612, 1779, 2636, 2742, 2857, 2966, 2998]"
151,4,"[170, 609, 2192, 2592]"
152,10,"[7, 26, 598, 683, 871, 2168, 2187, 2504, 2564, 2726]"
153,11,"[369, 575, 914, 928, 1127, 1138, 1213, 1570, 1774, 2102, 2297]"
154,5,"[182, 224, 332, 1499, 2596]"
155,5,"[762, 1002, 2387, 2419, 2740]"
156,7,"[384, 954, 1240, 1412, 1543, 2952, 3042]"
157,22,"[522, 552, 661, 697, 858, 962, 1051, 1230, 1320, 1327, 1363, 1504, 1509, 1585, 2085, 2397, 2421, 2442, 2465, 2880, 2928, 3011]"
