Value,Occurrences,Indices
38,13,"[1, 3, 4, 9, 11, 12, 18, 19, 25, 46, 77, 209, 359]"
39,8,"[13, 14, 36, 61, 96, 105, 139, 149]"
40,7,"[22, 117, 118, 140, 163, 226, 265]"
41,17,"[16, 27, 29, 35, 65, 73, 83, 94, 115, 162, 204, 227, 237, 239, 262, 276, 353]"
42,30,"[0, 39, 42, 45, 49, 52, 57, 59, 66, 69, 76, 137, 174, 187, 206, 240, 255, 282, 284, 285, 311, 326, 334, 335, 337, 356, 369, 371, 390, 403]"
43,19,"[24, 31, 38, 53, 71, 78, 109, 111, 116, 124, 147, 148, 156, 261, 300, 301, 370, 377, 424]"
44,17,"[8, 23, 64, 84, 90, 104, 114, 122, 125, 138, 155, 161, 184, 203, 225, 236, 238]"
45,13,"[5, 62, 93, 101, 103, 112, 131, 134, 145, 186, 205, 249, 367]"
46,11,"[58, 75, 82, 102, 133, 157, 173, 202, 214, 269, 292]"
47,6,"[179, 197, 212, 235, 278, 460]"
48,254,"[2, 6, 7, 17, 26, 28, 32, 34, 43, 44, 47, 48, 50, 60, 67, 72, 74, 89, 91, 92, 95, 98, 100, 106, 108, 119, 123, 126, 127, 128, 135, 141, 142, 144, 146, 150, 151, 152, 153, 158, 159, 160, 164, 165, 166, 167, 168, 170, 171, 176, 177, 181, 185, 188, 189, 190, 191, 192, 193, 198, 199, 200, 201, 207, 208, 210, 213, 215, 216, 217, 218, 219, 221, 222, 223, 228, 229, 230, 231, 232, 233, 241, 242, 243, 244, 245, 246, 248, 250, 251, 252, 253, 256, 257, 258, 259, 260, 263, 264, 266, 267, 268, 270, 271, 272, 273, 275, 277, 279, 283, 287, 288, 290, 291, 293, 294, 295, 296, 297, 299, 302, 303, 304, 305, 306, 308, 310, 312, 313, 314, 315, 316, 319, 320, 321, 322, 323, 324, 325, 327, 328, 331, 332, 333, 336, 338, 340, 342, 343, 344, 345, 346, 347, 348, 349, 350, 351, 352, 354, 355, 357, 358, 360, 361, 362, 363, 364, 365, 366, 368, 372, 373, 375, 376, 378, 379, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 391, 392, 393, 394, 395, 396, 397, 398, 399, 400, 401, 402, 404, 405, 407, 408, 409, 410, 411, 412, 413, 414, 415, 416, 417, 418, 419, 421, 422, 423, 425, 426, 427, 428, 429, 430, 431, 432, 434, 435, 436, 437, 438, 439, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449, 451, 452, 453, 454, 455, 456, 457, 458, 459, 461, 462, 463, 464, 465]"
49,6,"[86, 169, 183, 196, 281, 339]"
50,11,"[113, 121, 136, 195, 224, 234, 254, 280, 307, 329, 374]"
51,1,[172]
52,1,[309]
53,1,[298]
54,2,"[182, 286]"
56,7,"[220, 318, 330, 406, 420, 433, 450]"
59,2,"[85, 341]"
60,1,[317]
62,2,"[79, 80]"
65,1,[274]
73,1,[21]
74,1,[180]
76,1,[41]
79,3,"[15, 30, 56]"
80,2,"[20, 70]"
81,2,"[10, 40]"
82,6,"[37, 51, 54, 55, 68, 81]"
83,2,"[88, 110]"
84,5,"[33, 63, 107, 130, 178]"
85,8,"[87, 97, 120, 129, 132, 143, 154, 175]"
86,5,"[99, 194, 211, 247, 289]"
