Value,Occurrences,Indices
94,45,"[13, 46, 139, 152, 166, 169, 209, 212, 235, 291, 293, 301, 308, 377, 535, 596, 650, 663, 762, 770, 775, 782, 888, 900, 1051, 1115, 1278, 1375, 1384, 1385, 1406, 1423, 1446, 1773, 1796, 1858, 1867, 1973, 2205, 2255, 2435, 2653, 2677, 2738, 2961]"
97,30,"[15, 19, 131, 147, 227, 319, 559, 588, 754, 766, 887, 979, 1028, 1226, 1247, 1410, 1648, 1672, 1722, 1750, 1819, 2436, 2513, 2553, 2573, 2706, 2791, 2936, 2987, 3011]"
99,46,"[45, 49, 64, 90, 133, 215, 279, 326, 338, 442, 513, 651, 705, 716, 767, 815, 896, 946, 963, 1032, 1049, 1119, 1175, 1273, 1286, 1308, 1336, 1347, 1461, 1601, 1683, 1728, 1760, 1794, 1828, 2032, 2070, 2104, 2162, 2394, 2416, 2549, 2611, 2740, 2783, 2822]"
100,443,"[0, 1, 5, 12, 16, 17, 20, 22, 27, 29, 31, 39, 40, 48, 50, 55, 60, 68, 70, 79, 87, 91, 94, 117, 120, 125, 129, 132, 151, 153, 154, 165, 173, 175, 176, 186, 189, 200, 206, 207, 213, 214, 219, 234, 237, 239, 242, 244, 247, 248, 251, 257, 258, 262, 268, 272, 273, 281, 283, 286, 296, 297, 302, 320, 324, 341, 345, 363, 379, 384, 386, 392, 401, 403, 409, 410, 418, 421, 429, 430, 440, 441, 444, 446, 447, 449, 461, 468, 471, 482, 483, 489, 493, 501, 502, 505, 509, 510, 512, 514, 517, 528, 534, 542, 550, 558, 567, 570, 571, 572, 589, 595, 597, 599, 602, 603, 605, 609, 621, 623, 629, 640, 654, 661, 671, 673, 685, 689, 711, 723, 730, 732, 736, 742, 746, 752, 755, 761, 763, 765, 771, 776, 780, 784, 785, 786, 789, 796, 806, 812, 816, 823, 830, 832, 840, 842, 847, 864, 870, 875, 885, 890, 892, 895, 904, 912, 915, 916, 921, 923, 937, 940, 948, 951, 952, 962, 964, 966, 973, 989, 991, 997, 999, 1003, 1014, 1022, 1024, 1026, 1037, 1041, 1052, 1070, 1073, 1077, 1098, 1099, 1100, 1106, 1114, 1131, 1133, 1135, 1136, 1138, 1152, 1157, 1166, 1196, 1198, 1208, 1209, 1215, 1217, 1218, 1222, 1230, 1235, 1236, 1240, 1250, 1260, 1279, 1280, 1296, 1301, 1305, 1314, 1316, 1322, 1333, 1335, 1337, 1345, 1348, 1351, 1355, 1365, 1367, 1373, 1381, 1390, 1400, 1401, 1424, 1425, 1428, 1433, 1435, 1442, 1445, 1450, 1454, 1459, 1467, 1470, 1485, 1487, 1504, 1506, 1514, 1538, 1561, 1563, 1564, 1568, 1574, 1583, 1585, 1590, 1610, 1619, 1636, 1644, 1661, 1664, 1686, 1688, 1689, 1699, 1701, 1704, 1707, 1721, 1734, 1743, 1792, 1817, 1820, 1830, 1831, 1833, 1835, 1838, 1840, 1842, 1847, 1883, 1889, 1892, 1893, 1900, 1902, 1916, 1917, 1919, 1924, 1927, 1929, 1930, 1938, 1953, 1961, 1966, 1968, 1983, 1999, 2000, 2011, 2023, 2030, 2034, 2036, 2039, 2063, 2076, 2081, 2083, 2093, 2128, 2138, 2141, 2144, 2147, 2150, 2152, 2156, 2165, 2166, 2168, 2186, 2198, 2221, 2226, 2240, 2263, 2265, 2267, 2284, 2285, 2286, 2287, 2290, 2307, 2312, 2320, 2322, 2343, 2348, 2352, 2353, 2361, 2366, 2376, 2387, 2404, 2407, 2408, 2421, 2424, 2443, 2444, 2447, 2452, 2458, 2461, 2468, 2475, 2479, 2493, 2498, 2510, 2520, 2523, 2529, 2531, 2546, 2572, 2574, 2585, 2588, 2596, 2600, 2601, 2605, 2616, 2619, 2626, 2628, 2632, 2637, 2642, 2654, 2658, 2663, 2666, 2681, 2684, 2688, 2693, 2727, 2731, 2745, 2749, 2761, 2768, 2775, 2790, 2810, 2835, 2857, 2865, 2875, 2901, 2914, 2919, 2920, 2922, 2931, 2941, 2945, 2952, 2957, 2958, 2962, 2964, 2981, 2989, 2991, 2997, 3010, 3013, 3017, 3021]"
101,51,"[103, 115, 210, 267, 280, 314, 348, 389, 435, 475, 616, 666, 813, 818, 856, 905, 1054, 1055, 1154, 1183, 1201, 1219, 1432, 1448, 1483, 1499, 1536, 1599, 1679, 1772, 1785, 1871, 1944, 1982, 2109, 2111, 2126, 2219, 2257, 2341, 2374, 2401, 2429, 2466, 2511, 2671, 2767, 2804, 2829, 2845, 2912]"
102,200,"[7, 11, 59, 69, 72, 80, 100, 105, 121, 130, 140, 163, 164, 220, 269, 274, 276, 284, 288, 305, 323, 328, 340, 359, 360, 361, 411, 426, 458, 469, 481, 518, 540, 580, 586, 635, 639, 642, 647, 653, 657, 662, 664, 683, 684, 697, 701, 725, 758, 808, 824, 838, 844, 845, 849, 858, 867, 880, 909, 941, 959, 967, 978, 982, 984, 1001, 1007, 1025, 1068, 1079, 1094, 1132, 1147, 1149, 1160, 1170, 1252, 1254, 1256, 1303, 1304, 1307, 1311, 1352, 1368, 1377, 1404, 1414, 1440, 1456, 1463, 1465, 1489, 1491, 1494, 1496, 1508, 1520, 1560, 1596, 1614, 1634, 1643, 1670, 1675, 1725, 1729, 1731, 1748, 1761, 1791, 1800, 1814, 1826, 1839, 1848, 1856, 1876, 1877, 1882, 1891, 1896, 1897, 1931, 1941, 1945, 1960, 1977, 1985, 1986, 1998, 2007, 2028, 2055, 2057, 2065, 2085, 2108, 2124, 2136, 2142, 2151, 2153, 2164, 2180, 2194, 2222, 2230, 2244, 2252, 2334, 2337, 2346, 2357, 2362, 2363, 2369, 2395, 2428, 2480, 2497, 2542, 2543, 2552, 2554, 2586, 2592, 2594, 2603, 2646, 2650, 2704, 2708, 2712, 2730, 2733, 2780, 2789, 2794, 2807, 2821, 2827, 2833, 2837, 2862, 2863, 2868, 2881, 2885, 2888, 2889, 2893, 2924, 2950, 2965, 2968, 2970, 2972, 3002, 3014]"
103,84,"[18, 53, 75, 76, 211, 275, 309, 312, 332, 342, 371, 408, 422, 428, 455, 508, 538, 541, 557, 590, 622, 636, 722, 837, 863, 889, 950, 974, 1058, 1118, 1125, 1182, 1194, 1237, 1241, 1251, 1265, 1271, 1292, 1302, 1462, 1493, 1518, 1519, 1540, 1592, 1622, 1639, 1668, 1677, 1682, 1765, 1771, 1824, 1932, 1954, 1964, 1967, 1991, 2027, 2049, 2118, 2123, 2176, 2291, 2293, 2299, 2324, 2371, 2405, 2481, 2501, 2519, 2541, 2604, 2695, 2714, 2744, 2788, 2802, 2809, 2861, 2944, 3015]"
104,53,"[10, 126, 187, 249, 278, 287, 334, 366, 479, 495, 612, 667, 714, 743, 852, 878, 882, 957, 1012, 1091, 1258, 1457, 1492, 1513, 1572, 1613, 1615, 1745, 1747, 1822, 1862, 1981, 2020, 2054, 2059, 2169, 2241, 2310, 2315, 2470, 2476, 2589, 2622, 2711, 2718, 2757, 2760, 2765, 2778, 2869, 2871, 2956, 2971]"
105,23,"[9, 148, 476, 490, 522, 548, 811, 827, 919, 934, 1103, 1187, 1272, 1427, 1789, 2051, 2208, 2377, 2483, 2660, 2722, 2800, 2897]"
106,83,"[47, 218, 221, 245, 261, 397, 478, 486, 526, 703, 706, 707, 727, 802, 822, 944, 961, 985, 1027, 1030, 1056, 1062, 1064, 1071, 1113, 1137, 1167, 1239, 1264, 1289, 1298, 1309, 1323, 1338, 1366, 1397, 1411, 1417, 1476, 1480, 1515, 1546, 1626, 1631, 1638, 1651, 1656, 1697, 1749, 1754, 1769, 1806, 1855, 1937, 1992, 1994, 2009, 2018, 2099, 2102, 2197, 2215, 2216, 2239, 2262, 2325, 2381, 2399, 2422, 2430, 2440, 2467, 2492, 2565, 2568, 2591, 2598, 2641, 2742, 2858, 2894, 2933, 2985]"
