Value,Occurrences,Indices
105,9,"[176, 1055, 1060, 2015, 2185, 2417, 2764, 2835, 3057]"
106,45,"[103, 119, 127, 142, 215, 282, 283, 287, 292, 307, 681, 854, 904, 916, 939, 1188, 1228, 1269, 1310, 1318, 1364, 1397, 1423, 1428, 1437, 1514, 1564, 1599, 1645, 1718, 1743, 1841, 1848, 1965, 2156, 2255, 2329, 2489, 2546, 2566, 2668, 2938, 2966, 2977, 3046]"
107,26,"[68, 69, 153, 157, 158, 166, 199, 221, 270, 537, 718, 800, 849, 962, 1081, 1647, 1735, 1908, 2295, 2322, 2457, 2570, 2881, 3003, 3032, 3085]"
108,31,"[21, 52, 163, 264, 433, 519, 589, 773, 816, 817, 874, 921, 1167, 1170, 1453, 1473, 1556, 1709, 2053, 2309, 2376, 2425, 2533, 2585, 2587, 2795, 2944, 3033, 3045, 3081, 3138]"
109,68,"[15, 48, 56, 279, 309, 382, 469, 644, 688, 725, 796, 797, 886, 963, 1011, 1090, 1143, 1154, 1206, 1214, 1242, 1276, 1292, 1296, 1343, 1353, 1385, 1386, 1404, 1406, 1418, 1439, 1466, 1493, 1499, 1543, 1569, 1610, 1611, 1657, 1674, 1693, 1765, 1860, 1946, 1974, 2002, 2038, 2149, 2235, 2257, 2380, 2420, 2437, 2603, 2663, 2722, 2728, 2744, 2750, 2822, 2827, 2932, 2982, 3034, 3058, 3111, 3115]"
110,65,"[33, 62, 78, 82, 147, 170, 201, 236, 293, 328, 347, 387, 462, 520, 551, 609, 634, 650, 682, 757, 766, 784, 835, 853, 932, 952, 1061, 1080, 1094, 1133, 1148, 1180, 1266, 1321, 1337, 1427, 1454, 1461, 1483, 1497, 1545, 1548, 1606, 1625, 1641, 1727, 1802, 1846, 1887, 1966, 2083, 2155, 2226, 2284, 2289, 2303, 2348, 2370, 2467, 2499, 2552, 2613, 2752, 3052, 3097]"
111,116,"[4, 30, 40, 46, 57, 95, 109, 175, 208, 227, 229, 248, 250, 252, 260, 289, 296, 400, 408, 423, 447, 546, 562, 567, 585, 604, 659, 689, 717, 735, 738, 759, 787, 807, 861, 872, 889, 903, 960, 985, 1013, 1017, 1050, 1058, 1064, 1134, 1179, 1216, 1244, 1272, 1275, 1325, 1341, 1419, 1425, 1445, 1494, 1496, 1515, 1592, 1634, 1653, 1654, 1687, 1703, 1750, 1798, 1870, 1872, 1935, 1949, 1967, 1994, 2014, 2026, 2123, 2133, 2168, 2172, 2407, 2440, 2456, 2459, 2493, 2496, 2504, 2509, 2526, 2538, 2615, 2628, 2631, 2646, 2695, 2706, 2727, 2732, 2734, 2747, 2776, 2796, 2831, 2834, 2836, 2842, 2854, 2860, 2904, 2928, 2931, 2950, 2979, 2983, 3029, 3044, 3101]"
112,148,"[27, 36, 44, 50, 70, 80, 113, 114, 128, 131, 219, 234, 267, 268, 278, 285, 286, 340, 351, 368, 370, 413, 427, 445, 446, 458, 573, 574, 618, 620, 624, 641, 662, 664, 672, 679, 706, 714, 758, 777, 785, 799, 824, 846, 860, 865, 878, 906, 918, 964, 968, 976, 992, 1049, 1093, 1113, 1115, 1116, 1172, 1176, 1191, 1193, 1194, 1235, 1238, 1250, 1259, 1274, 1282, 1283, 1285, 1300, 1316, 1333, 1355, 1362, 1384, 1459, 1462, 1513, 1557, 1578, 1616, 1621, 1662, 1668, 1683, 1702, 1736, 1741, 1774, 1775, 1790, 1794, 1808, 1871, 1883, 1902, 1991, 2005, 2021, 2022, 2033, 2036, 2054, 2082, 2091, 2116, 2175, 2199, 2225, 2242, 2307, 2354, 2404, 2424, 2444, 2447, 2460, 2463, 2468, 2487, 2512, 2528, 2530, 2540, 2562, 2568, 2586, 2675, 2685, 2703, 2850, 2857, 2861, 2897, 2911, 2933, 2937, 2962, 2980, 3006, 3014, 3031, 3061, 3065, 3098, 3116]"
113,64,"[3, 13, 99, 273, 284, 291, 376, 525, 534, 558, 669, 703, 774, 834, 863, 901, 1085, 1104, 1122, 1192, 1215, 1253, 1307, 1317, 1330, 1435, 1500, 1554, 1613, 1656, 1694, 1812, 1833, 1836, 1852, 1931, 1960, 1990, 2134, 2148, 2182, 2319, 2340, 2350, 2358, 2384, 2531, 2545, 2557, 2558, 2644, 2673, 2745, 2762, 2799, 2810, 2859, 2915, 2918, 3028, 3030, 3060, 3063, 3077]"
114,124,"[26, 67, 76, 87, 90, 93, 104, 117, 150, 171, 195, 231, 237, 274, 299, 375, 421, 432, 449, 470, 481, 517, 518, 523, 536, 544, 571, 579, 623, 627, 630, 647, 693, 701, 734, 767, 804, 805, 812, 818, 841, 851, 856, 867, 885, 887, 915, 922, 930, 950, 977, 993, 1020, 1043, 1044, 1107, 1110, 1137, 1159, 1161, 1197, 1220, 1225, 1226, 1233, 1305, 1334, 1472, 1516, 1538, 1550, 1574, 1589, 1614, 1635, 1673, 1739, 1746, 1781, 1793, 1910, 1921, 1944, 1954, 1971, 1995, 2061, 2092, 2106, 2119, 2129, 2152, 2273, 2282, 2283, 2308, 2313, 2377, 2409, 2427, 2433, 2497, 2501, 2532, 2573, 2580, 2612, 2622, 2634, 2639, 2665, 2698, 2739, 2748, 2837, 2892, 2935, 2957, 2972, 2973, 2975, 3009, 3026, 3035]"
115,131,"[38, 84, 101, 126, 152, 173, 178, 192, 198, 277, 313, 332, 407, 417, 420, 437, 454, 473, 492, 498, 513, 556, 592, 594, 598, 611, 619, 646, 651, 653, 654, 663, 676, 730, 736, 754, 782, 793, 806, 847, 970, 973, 1021, 1034, 1047, 1065, 1071, 1097, 1101, 1112, 1126, 1144, 1155, 1199, 1306, 1328, 1331, 1381, 1389, 1407, 1426, 1467, 1542, 1577, 1628, 1672, 1675, 1680, 1695, 1717, 1722, 1738, 1754, 1784, 1789, 1792, 1815, 1817, 1832, 1840, 1850, 1854, 1865, 1875, 1900, 1939, 1968, 2027, 2041, 2050, 2059, 2062, 2073, 2088, 2090, 2095, 2118, 2147, 2167, 2194, 2240, 2271, 2323, 2343, 2419, 2464, 2466, 2490, 2507, 2518, 2521, 2556, 2567, 2576, 2594, 2596, 2648, 2694, 2705, 2729, 2779, 2855, 2885, 2964, 2974, 2996, 3037, 3076, 3096, 3109, 3125]"
116,128,"[16, 20, 37, 105, 121, 144, 179, 200, 203, 245, 269, 404, 411, 415, 452, 483, 509, 514, 528, 531, 538, 581, 617, 642, 649, 702, 710, 726, 743, 749, 753, 790, 803, 827, 832, 838, 866, 869, 914, 927, 936, 937, 980, 981, 1015, 1051, 1052, 1069, 1072, 1120, 1131, 1173, 1239, 1286, 1311, 1324, 1338, 1348, 1350, 1368, 1372, 1408, 1450, 1468, 1479, 1486, 1489, 1502, 1561, 1572, 1609, 1632, 1699, 1715, 1740, 1787, 1824, 1844, 1858, 1899, 1956, 1963, 1969, 1972, 1989, 2001, 2016, 2018, 2023, 2039, 2075, 2080, 2169, 2170, 2183, 2214, 2236, 2239, 2248, 2258, 2281, 2298, 2346, 2363, 2367, 2401, 2438, 2455, 2500, 2555, 2574, 2629, 2647, 2725, 2737, 2738, 2774, 2788, 2794, 2804, 2846, 2905, 2913, 2993, 2999, 3120, 3128, 3131]"
117,150,"[19, 34, 39, 41, 55, 73, 79, 98, 112, 115, 155, 174, 187, 189, 191, 193, 214, 226, 242, 275, 280, 310, 314, 320, 327, 344, 361, 378, 386, 388, 395, 464, 480, 487, 516, 524, 533, 545, 560, 563, 607, 615, 621, 665, 666, 680, 685, 715, 778, 813, 828, 843, 900, 912, 934, 941, 956, 966, 969, 971, 982, 989, 1038, 1062, 1067, 1136, 1142, 1160, 1221, 1243, 1315, 1394, 1451, 1471, 1485, 1488, 1518, 1519, 1527, 1567, 1583, 1587, 1598, 1612, 1619, 1624, 1630, 1644, 1650, 1689, 1705, 1745, 1755, 1770, 1778, 1786, 1828, 1876, 1904, 1929, 1932, 1985, 2122, 2131, 2139, 2142, 2200, 2208, 2215, 2230, 2249, 2277, 2311, 2315, 2320, 2368, 2375, 2391, 2423, 2448, 2450, 2471, 2485, 2495, 2610, 2624, 2635, 2641, 2719, 2759, 2769, 2797, 2819, 2828, 2874, 2878, 2895, 2916, 2923, 2940, 2942, 2948, 2985, 3071, 3084, 3086, 3088, 3106, 3108, 3113]"
118,92,"[5, 12, 31, 63, 89, 106, 213, 300, 303, 326, 354, 391, 398, 410, 455, 467, 471, 474, 575, 673, 716, 779, 792, 802, 833, 938, 965, 1025, 1042, 1083, 1091, 1103, 1138, 1190, 1224, 1229, 1268, 1366, 1378, 1421, 1440, 1455, 1492, 1525, 1627, 1636, 1691, 1714, 1720, 1734, 1749, 1780, 1806, 1823, 1834, 1948, 2008, 2045, 2060, 2143, 2176, 2197, 2198, 2259, 2260, 2270, 2288, 2294, 2389, 2397, 2472, 2473, 2480, 2525, 2529, 2549, 2595, 2611, 2721, 2743, 2753, 2754, 2760, 2782, 2789, 2793, 2814, 2862, 2864, 2890, 3002, 3129]"
119,69,"[168, 230, 246, 316, 342, 349, 355, 367, 384, 428, 459, 482, 527, 555, 694, 712, 876, 1000, 1030, 1036, 1074, 1108, 1117, 1124, 1139, 1140, 1218, 1258, 1260, 1278, 1373, 1391, 1452, 1503, 1531, 1537, 1555, 1629, 1652, 1719, 1742, 1753, 1785, 1810, 1839, 1849, 1979, 2066, 2071, 2117, 2145, 2151, 2256, 2332, 2436, 2513, 2584, 2619, 2620, 2656, 2702, 2718, 2757, 2801, 2893, 2899, 2952, 3055, 3075]"
120,84,"[97, 160, 167, 184, 197, 247, 263, 297, 359, 394, 409, 412, 431, 439, 461, 494, 496, 505, 506, 507, 540, 595, 683, 687, 705, 769, 808, 857, 870, 871, 911, 961, 979, 1075, 1079, 1096, 1119, 1129, 1146, 1165, 1298, 1380, 1405, 1424, 1433, 1512, 1530, 1597, 1600, 1602, 1631, 1638, 1671, 1685, 1686, 1729, 1733, 1748, 1751, 1764, 1768, 1772, 1895, 1992, 2009, 2067, 2099, 2157, 2165, 2279, 2285, 2286, 2327, 2344, 2445, 2625, 2626, 2778, 2817, 2829, 2896, 2909, 3008, 3135]"
121,60,"[96, 110, 165, 211, 317, 322, 324, 358, 539, 578, 633, 640, 747, 880, 884, 1098, 1164, 1203, 1209, 1254, 1399, 1422, 1579, 1605, 1623, 1637, 1669, 1681, 1713, 1730, 1756, 1766, 1804, 1864, 1909, 1918, 2100, 2202, 2206, 2317, 2390, 2392, 2470, 2527, 2618, 2678, 2709, 2768, 2863, 2886, 2917, 2934, 2936, 2955, 2992, 3012, 3048, 3107, 3126, 3133]"
122,81,"[71, 81, 107, 133, 148, 149, 169, 254, 259, 339, 383, 390, 396, 406, 443, 552, 613, 636, 660, 809, 836, 840, 873, 896, 957, 975, 1003, 1009, 1063, 1128, 1169, 1247, 1297, 1304, 1326, 1339, 1346, 1375, 1395, 1430, 1434, 1463, 1522, 1541, 1633, 1640, 1679, 1771, 1892, 2000, 2004, 2104, 2109, 2121, 2162, 2163, 2187, 2212, 2243, 2252, 2265, 2275, 2349, 2386, 2394, 2402, 2413, 2454, 2479, 2564, 2571, 2590, 2597, 2599, 2602, 2990, 2991, 3051, 3078, 3093, 3123]"
123,56,"[8, 123, 330, 399, 419, 576, 591, 601, 711, 768, 776, 810, 830, 942, 955, 1001, 1004, 1073, 1086, 1123, 1157, 1329, 1387, 1413, 1511, 1677, 1688, 1708, 1901, 1915, 1938, 1980, 1981, 2046, 2069, 2074, 2102, 2213, 2331, 2355, 2382, 2406, 2582, 2583, 2606, 2627, 2683, 2907, 2910, 2959, 2970, 2986, 3069, 3079, 3127, 3132]"
124,39,"[1, 14, 47, 288, 302, 350, 385, 434, 491, 529, 572, 597, 599, 645, 690, 727, 728, 756, 1105, 1236, 1257, 1415, 1475, 1544, 1922, 1973, 2115, 2160, 2446, 2523, 2563, 2588, 2808, 2849, 2922, 3000, 3087, 3105, 3119]"
125,35,"[88, 156, 186, 209, 235, 312, 334, 364, 508, 549, 674, 882, 996, 1219, 1255, 1377, 1510, 1540, 1562, 1943, 2078, 2110, 2178, 2181, 2191, 2223, 2250, 2251, 2314, 2494, 2661, 2875, 2900, 2920, 2924]"
126,21,"[132, 135, 228, 281, 356, 430, 479, 490, 526, 713, 944, 1181, 1495, 1551, 1575, 1678, 1945, 2031, 2267, 2699, 3140]"
127,29,"[66, 74, 111, 212, 218, 360, 457, 584, 1158, 1246, 1293, 1365, 1448, 1565, 1586, 1642, 1724, 1726, 1763, 1767, 1801, 2010, 2048, 2442, 2478, 2872, 2939, 2978, 3004]"
128,18,"[223, 475, 667, 722, 907, 953, 1125, 1504, 1665, 1853, 1868, 1924, 2051, 2233, 2839, 2925, 3054, 3090]"
129,15,"[748, 820, 1005, 1208, 1622, 1661, 1779, 1884, 2063, 2076, 2335, 2359, 2515, 2756, 3059]"
130,14,"[10, 64, 181, 372, 379, 791, 1267, 1584, 1690, 2037, 2241, 2411, 2657, 2961]"
131,13,"[338, 1007, 1106, 1361, 2196, 2228, 2339, 2364, 2443, 2614, 2701, 3036, 3083]"
132,14,"[308, 331, 564, 924, 1277, 1371, 1411, 1590, 2085, 2113, 2352, 2483, 2575, 3007]"
133,9,"[335, 484, 696, 739, 2161, 2341, 2361, 2506, 3025]"
134,18,"[29, 570, 765, 893, 923, 926, 1109, 1811, 2012, 2114, 2381, 2572, 2649, 2692, 2761, 2856, 2919, 2984]"
135,9,"[9, 159, 255, 1349, 1761, 2190, 2244, 2971, 3042]"
136,22,"[233, 276, 298, 348, 416, 521, 708, 844, 994, 1132, 1303, 1335, 1363, 1416, 1431, 2025, 2035, 2150, 2302, 2338, 2640, 2684]"
137,13,"[49, 180, 798, 1186, 1287, 1332, 1412, 1456, 1536, 1809, 2372, 2458, 2477]"
138,14,"[345, 366, 414, 488, 656, 732, 744, 1121, 2337, 2379, 2544, 2697, 2847, 3121]"
139,17,"[397, 608, 670, 883, 1230, 1280, 1481, 1716, 2207, 2400, 2517, 2755, 2765, 2786, 3021, 3039, 3139]"
140,16,"[32, 304, 357, 501, 864, 1312, 1509, 1799, 1907, 1964, 2430, 2434, 3019, 3066, 3070, 3100]"
141,13,"[17, 216, 343, 786, 1403, 1615, 1952, 2310, 2333, 2336, 2484, 2687, 2844]"
142,16,"[444, 783, 1217, 1345, 1358, 1528, 1582, 1585, 1620, 1759, 1930, 2264, 2388, 2869, 2873, 3020]"
143,15,"[43, 124, 325, 532, 919, 1039, 1102, 1130, 1175, 1237, 1534, 1676, 2032, 2146, 2670]"
144,10,"[720, 1420, 1618, 1912, 2154, 2439, 2488, 2953, 3043, 3104]"
145,19,"[23, 91, 321, 497, 811, 1265, 1791, 1970, 2135, 2174, 2234, 2426, 2462, 2476, 2520, 2690, 2821, 2832, 3118]"
146,16,"[177, 239, 262, 290, 294, 486, 852, 908, 1077, 1232, 1344, 1788, 1807, 1827, 2057, 3095]"
147,18,"[92, 164, 515, 733, 839, 954, 1027, 1057, 1507, 1880, 1951, 2269, 2304, 2422, 2510, 2542, 2731, 3134]"
148,25,"[94, 206, 306, 315, 369, 403, 652, 997, 1240, 1573, 1698, 1769, 1914, 1947, 2105, 2266, 2565, 2633, 2688, 2730, 2740, 2947, 2976, 3038, 3074]"
149,15,"[125, 510, 616, 761, 1151, 1336, 1342, 1563, 1707, 1863, 1959, 2261, 2369, 2710, 2876]"
150,22,"[238, 441, 485, 495, 638, 692, 821, 859, 972, 1028, 1141, 1446, 1845, 1882, 1916, 1936, 2246, 2274, 2598, 2726, 2882, 2914]"
151,19,"[196, 272, 554, 678, 891, 1252, 1367, 1376, 1581, 1747, 2089, 2220, 2227, 2272, 2278, 2293, 2548, 2691, 2772]"
152,16,"[535, 740, 1271, 1284, 1487, 1491, 1576, 2144, 2482, 2653, 2672, 2785, 2812, 2981, 3103, 3110]"
153,21,"[249, 588, 677, 724, 895, 1354, 1819, 1878, 2011, 2188, 2216, 2229, 2373, 2498, 2608, 2682, 2741, 2908, 2945, 2995, 3080]"
154,22,"[35, 243, 256, 418, 466, 586, 603, 1145, 1281, 1442, 1477, 1480, 1505, 1608, 1737, 2081, 2112, 2326, 2676, 2733, 2949, 3102]"
155,21,"[522, 550, 910, 1045, 1436, 1465, 1857, 1877, 1893, 1975, 1988, 2120, 2218, 2245, 2306, 2371, 2387, 2689, 2792, 2912, 2926]"
156,16,"[244, 346, 392, 405, 547, 655, 1356, 1374, 1885, 1940, 1984, 2481, 2579, 2713, 2802, 3137]"
157,29,"[53, 58, 102, 141, 190, 374, 499, 566, 580, 781, 929, 1351, 1464, 1558, 1646, 1649, 1704, 1913, 2087, 2254, 2398, 2408, 2431, 2503, 2758, 2880, 3027, 3047, 3067]"
158,12,"[100, 205, 502, 548, 1095, 1843, 2158, 2186, 2238, 2700, 2767, 2927]"
159,16,"[145, 389, 424, 639, 1213, 1805, 1861, 1937, 2007, 2064, 2262, 2328, 3018, 3050, 3053, 3064]"
160,24,"[295, 426, 456, 631, 699, 868, 905, 1031, 1041, 1092, 1189, 1319, 1347, 1482, 1643, 2231, 2334, 2671, 2693, 2708, 2816, 2826, 2997, 3073]"
161,25,"[60, 118, 183, 217, 352, 451, 762, 801, 845, 1177, 1449, 1506, 1626, 1982, 2013, 2103, 2111, 2189, 2268, 2305, 2492, 2519, 2696, 2848, 3001]"
162,16,"[54, 65, 108, 742, 819, 943, 1200, 1245, 1660, 1958, 2098, 2318, 2735, 2771, 2960, 3091]"
163,31,"[261, 271, 337, 380, 605, 988, 1018, 1054, 1178, 1313, 1323, 1484, 1520, 1570, 1571, 1822, 1847, 1867, 1869, 1957, 1998, 2108, 2316, 2321, 2453, 2547, 2798, 2954, 2994, 3122, 3130]"
164,26,"[265, 543, 731, 752, 978, 1301, 1382, 1460, 1470, 1559, 1706, 1955, 2040, 2136, 2263, 2345, 2414, 2536, 2607, 2652, 2823, 2825, 2865, 2868, 2879, 3049]"
165,34,"[138, 559, 658, 780, 825, 897, 945, 967, 1053, 1066, 1210, 1222, 1360, 1396, 1441, 1517, 1560, 1696, 1710, 1855, 1879, 1983, 2374, 2475, 2514, 2577, 2643, 2681, 2770, 2805, 2883, 2946, 2998, 3112]"
166,29,"[146, 251, 381, 401, 657, 675, 723, 925, 1084, 1135, 1152, 1249, 1308, 1327, 1369, 1370, 1417, 1553, 1603, 1725, 1826, 1890, 1917, 2209, 2280, 2660, 2803, 2891, 3005]"
167,19,"[477, 848, 1204, 1552, 1682, 1777, 1866, 1976, 1993, 2125, 2461, 2609, 2654, 2723, 2815, 2963, 2987, 3082, 3092]"
168,31,"[6, 222, 329, 478, 590, 862, 917, 928, 1014, 1029, 1195, 1205, 1322, 1383, 1388, 1700, 1773, 1856, 1874, 1997, 2049, 2132, 2232, 2365, 2560, 2680, 2853, 2866, 2871, 2894, 3062]"
