Value,Occurrences,Indices
124,1,[278]
128,2,"[1835, 2440]"
130,1,[347]
131,3,"[78, 127, 1681]"
132,3,"[129, 1166, 1219]"
133,6,"[333, 1261, 1303, 1510, 1629, 1848]"
134,5,"[730, 1846, 2182, 2490, 2594]"
135,4,"[1035, 1273, 1341, 1697]"
136,12,"[116, 446, 464, 722, 869, 1267, 1552, 1692, 1785, 2077, 2238, 2469]"
137,10,"[128, 481, 800, 971, 1782, 1985, 2102, 2468, 2491, 2592]"
138,10,"[79, 136, 420, 754, 787, 794, 876, 977, 1501, 1664]"
139,11,"[221, 246, 815, 991, 1036, 1096, 1868, 1994, 2411, 2435, 2550]"
140,9,"[77, 212, 619, 1160, 1181, 1247, 1821, 2210, 2382]"
141,11,"[201, 401, 473, 508, 1131, 1240, 1304, 1539, 1713, 1871, 2223]"
142,16,"[83, 358, 376, 570, 909, 963, 1195, 1229, 1266, 1333, 1786, 1989, 2039, 2178, 2348, 2404]"
143,9,"[494, 817, 1425, 1943, 2004, 2115, 2329, 2342, 2457]"
144,11,"[74, 1446, 1447, 1503, 1751, 1852, 1961, 2029, 2078, 2408, 2578]"
145,17,"[44, 55, 273, 544, 1165, 1177, 1199, 1541, 1550, 1817, 1824, 2092, 2123, 2298, 2302, 2343, 2434]"
146,20,"[40, 382, 447, 520, 540, 599, 705, 719, 1009, 1079, 1274, 1328, 1542, 1572, 1951, 2128, 2203, 2216, 2477, 2528]"
147,10,"[149, 470, 521, 667, 1371, 1394, 1638, 2054, 2108, 2294]"
148,8,"[147, 155, 557, 1223, 1540, 2091, 2137, 2213]"
149,14,"[181, 384, 395, 531, 657, 816, 1414, 1567, 1761, 1772, 1902, 2006, 2212, 2447]"
150,10,"[272, 277, 312, 411, 671, 807, 833, 1635, 1843, 2049]"
151,9,"[858, 881, 1419, 1654, 1988, 2120, 2278, 2288, 2350]"
152,12,"[121, 386, 407, 930, 1756, 1844, 1909, 2086, 2237, 2495, 2574, 2576]"
153,12,"[30, 369, 414, 444, 1110, 1361, 1396, 1505, 1907, 1941, 2116, 2199]"
154,13,"[293, 752, 867, 988, 1100, 1114, 1251, 1429, 1617, 1648, 1711, 2050, 2521]"
155,10,"[17, 231, 408, 766, 767, 768, 793, 865, 1490, 2305]"
156,11,"[309, 363, 614, 638, 813, 936, 1269, 1390, 1464, 1894, 2168]"
157,15,"[654, 676, 697, 1042, 1262, 1308, 1435, 1526, 1563, 1597, 1627, 1741, 1792, 1974, 2190]"
158,18,"[33, 210, 365, 462, 922, 1099, 1151, 1237, 1276, 1287, 1339, 1364, 1477, 1571, 1689, 1702, 2300, 2357]"
159,14,"[267, 760, 840, 931, 1010, 1162, 1222, 1451, 1809, 1893, 1983, 2040, 2419, 2463]"
160,19,"[34, 302, 564, 785, 959, 1018, 1061, 1171, 1360, 1434, 1436, 1507, 1618, 1860, 2031, 2280, 2324, 2387, 2475]"
161,18,"[69, 457, 567, 688, 746, 763, 773, 1004, 1113, 1683, 1703, 1706, 2083, 2112, 2136, 2312, 2328, 2445]"
162,6,"[88, 1409, 1445, 1677, 2089, 2093]"
163,24,"[27, 36, 169, 193, 254, 275, 594, 618, 801, 810, 887, 905, 1046, 1057, 1154, 1208, 1212, 1249, 1397, 1454, 1492, 2130, 2339, 2386]"
164,20,"[41, 114, 130, 178, 650, 708, 727, 974, 1190, 1336, 1356, 1480, 1707, 1714, 2068, 2272, 2304, 2349, 2555, 2560]"
165,15,"[268, 428, 609, 853, 1314, 1324, 1459, 1940, 1977, 1981, 2062, 2179, 2347, 2364, 2549]"
166,20,"[43, 119, 133, 234, 480, 527, 537, 579, 624, 745, 783, 821, 1120, 1301, 1837, 2079, 2150, 2286, 2346, 2453]"
167,21,"[156, 291, 737, 943, 1285, 1295, 1343, 1431, 1535, 1569, 1767, 1776, 1787, 1794, 1827, 1899, 1914, 1925, 2303, 2371, 2534]"
168,26,"[22, 35, 53, 56, 125, 142, 623, 694, 927, 969, 1145, 1461, 1686, 1749, 1775, 1955, 1997, 2032, 2036, 2061, 2075, 2201, 2220, 2295, 2502, 2556]"
169,26,"[93, 270, 271, 343, 385, 533, 560, 674, 757, 901, 924, 928, 953, 1116, 1284, 1299, 1354, 1392, 1527, 1623, 1628, 1699, 1819, 1986, 2246, 2397]"
170,28,"[59, 98, 222, 265, 445, 536, 651, 781, 960, 1045, 1065, 1073, 1086, 1104, 1124, 1129, 1264, 1325, 1387, 1413, 1547, 1608, 1693, 1948, 2034, 2171, 2448, 2485]"
