Value,Occurrences,Indices
105,2,"[1583, 2508]"
106,3,"[72, 946, 2591]"
107,8,"[36, 57, 137, 2006, 2016, 2091, 2104, 2326]"
109,16,"[227, 546, 789, 1089, 1108, 1212, 1349, 1844, 1869, 1956, 2305, 2427, 2481, 2593, 2709, 2926]"
110,24,"[86, 124, 177, 205, 320, 446, 555, 869, 881, 964, 1002, 1188, 1712, 1933, 2071, 2106, 2289, 2304, 2542, 2577, 2649, 2895, 2936, 3021]"
111,13,"[470, 563, 669, 862, 1682, 2010, 2230, 2303, 2414, 2654, 2796, 2859, 3022]"
112,18,"[42, 233, 396, 420, 498, 584, 742, 764, 778, 1235, 1250, 1418, 1444, 2419, 2471, 2655, 2765, 2927]"
113,32,"[75, 113, 165, 334, 419, 452, 670, 831, 992, 1011, 1050, 1080, 1092, 1099, 1129, 1138, 1190, 1221, 1287, 1293, 1295, 1423, 1492, 1520, 1539, 1578, 1593, 2172, 2224, 2644, 2893, 3012]"
114,42,"[88, 119, 129, 304, 314, 331, 360, 424, 427, 464, 479, 611, 634, 641, 660, 672, 691, 722, 885, 1216, 1335, 1471, 1495, 1541, 1591, 1647, 1769, 1866, 1871, 1936, 1943, 1954, 1974, 2058, 2369, 2386, 2467, 2521, 2631, 2672, 2916, 3037]"
115,45,"[43, 63, 83, 87, 125, 134, 271, 382, 437, 635, 741, 779, 905, 1164, 1240, 1487, 1606, 1655, 1693, 1698, 1754, 1894, 1952, 1995, 1999, 2003, 2061, 2138, 2258, 2267, 2295, 2298, 2333, 2335, 2397, 2416, 2548, 2571, 2603, 2716, 2718, 2769, 2780, 2816, 3024]"
116,50,"[74, 120, 148, 347, 376, 412, 421, 423, 493, 494, 502, 718, 828, 848, 880, 1087, 1114, 1125, 1170, 1397, 1485, 1508, 1514, 1550, 1648, 1733, 1774, 1785, 1802, 1892, 1935, 1989, 2030, 2032, 2118, 2166, 2174, 2216, 2221, 2327, 2417, 2507, 2632, 2706, 2708, 2786, 2842, 2935, 3007, 3050]"
117,60,"[127, 223, 317, 319, 322, 388, 433, 454, 461, 533, 571, 587, 627, 762, 837, 866, 928, 960, 1085, 1156, 1169, 1247, 1249, 1319, 1370, 1394, 1459, 1528, 1563, 1603, 1635, 1644, 1684, 1767, 1904, 1917, 2000, 2008, 2019, 2044, 2066, 2070, 2105, 2110, 2114, 2122, 2135, 2148, 2158, 2178, 2213, 2248, 2268, 2347, 2486, 2589, 2600, 2724, 2961, 2987]"
