Value,Occurrences,Indices
80,5,"[1, 3, 8, 13, 92]"
81,2,"[23, 31]"
84,13,"[2, 4, 9, 10, 11, 12, 15, 16, 17, 18, 19, 21, 39]"
85,1,[138]
94,1,[149]
97,1,[177]
108,88,"[14, 29, 34, 37, 38, 42, 43, 44, 47, 48, 49, 54, 59, 65, 68, 70, 75, 76, 77, 79, 80, 86, 87, 90, 91, 100, 109, 112, 114, 120, 131, 133, 134, 141, 142, 144, 147, 148, 152, 153, 155, 158, 159, 163, 168, 169, 170, 175, 178, 179, 184, 190, 191, 193, 198, 202, 204, 205, 206, 209, 210, 211, 213, 217, 219, 223, 225, 231, 233, 237, 238, 239, 240, 243, 244, 247, 251, 252, 253, 255, 261, 262, 264, 268, 273, 274, 277, 278]"
122,1,[61]
123,109,"[0, 7, 22, 30, 33, 35, 36, 41, 46, 50, 52, 53, 57, 58, 60, 63, 64, 66, 69, 72, 74, 82, 83, 84, 88, 93, 94, 96, 97, 98, 99, 101, 102, 103, 105, 106, 107, 110, 111, 113, 115, 116, 119, 122, 124, 125, 126, 128, 129, 130, 135, 136, 137, 139, 146, 150, 151, 154, 160, 161, 162, 165, 171, 172, 173, 174, 180, 181, 183, 185, 187, 188, 194, 195, 197, 199, 200, 201, 203, 207, 208, 212, 215, 216, 218, 220, 224, 226, 227, 228, 229, 230, 232, 236, 241, 245, 246, 248, 250, 254, 257, 259, 260, 267, 269, 270, 271, 275, 279]"
130,18,"[26, 28, 51, 55, 85, 95, 108, 118, 123, 157, 189, 192, 196, 221, 242, 256, 258, 266]"
131,2,"[6, 235]"
133,1,[143]
135,3,"[32, 156, 265]"
136,1,[25]
142,1,[127]
143,3,"[71, 104, 186]"
149,2,"[45, 249]"
150,1,[81]
151,1,[27]
154,1,[20]
156,1,[132]
158,2,"[56, 62]"
166,2,"[145, 263]"
167,2,"[166, 276]"
168,7,"[24, 67, 117, 176, 222, 234, 272]"
169,1,[167]
170,2,"[121, 164]"
174,1,[73]
175,1,[182]
178,1,[78]
187,2,"[89, 214]"
189,1,[140]
192,1,[40]
196,1,[5]
