Value,Occurrences,Indices
119,1,[885]
120,1,[2044]
122,5,"[65, 1042, 1195, 1314, 2749]"
123,2,"[1159, 2565]"
124,1,[63]
125,4,"[111, 1190, 1477, 2129]"
126,3,"[251, 481, 2502]"
127,3,"[68, 395, 1455]"
128,14,"[37, 66, 189, 628, 864, 1284, 1724, 1861, 2095, 2204, 2312, 2457, 2637, 2766]"
129,11,"[48, 78, 297, 649, 849, 1146, 1493, 1920, 1975, 2047, 2675]"
130,9,"[417, 422, 917, 1249, 1449, 1623, 1755, 2403, 2660]"
131,15,"[174, 340, 539, 570, 681, 752, 1198, 1462, 1511, 2113, 2364, 2478, 2702, 2709, 2799]"
132,26,"[1, 39, 392, 418, 515, 561, 568, 899, 1013, 1202, 1373, 1587, 1614, 1658, 1709, 1899, 2302, 2334, 2384, 2456, 2676, 2738, 2800, 2837, 2848, 2898]"
133,23,"[0, 91, 322, 344, 430, 494, 572, 991, 1043, 1196, 1396, 1581, 1641, 1707, 1739, 1827, 2054, 2141, 2206, 2333, 2335, 2668, 2851]"
134,29,"[176, 225, 351, 380, 434, 742, 845, 871, 1026, 1274, 1378, 1767, 1782, 1842, 1852, 1889, 1969, 1981, 1987, 2010, 2040, 2181, 2303, 2390, 2453, 2606, 2616, 2694, 2852]"
135,22,"[134, 271, 432, 865, 1069, 1182, 1337, 1349, 1395, 1513, 1752, 1779, 1959, 2006, 2051, 2172, 2237, 2358, 2435, 2500, 2628, 2636]"
136,23,"[96, 105, 126, 535, 556, 564, 637, 755, 758, 844, 928, 1113, 1342, 1480, 1663, 1677, 1890, 2145, 2318, 2383, 2469, 2877, 2890]"
137,32,"[76, 86, 140, 166, 183, 247, 332, 353, 438, 484, 650, 746, 951, 970, 1020, 1077, 1213, 1220, 1405, 1510, 1612, 1619, 1780, 2009, 2120, 2221, 2322, 2365, 2421, 2499, 2594, 2665]"
138,37,"[9, 15, 204, 471, 475, 498, 507, 579, 778, 799, 855, 998, 1062, 1223, 1234, 1287, 1291, 1490, 1574, 1649, 1674, 1811, 1845, 1938, 2005, 2007, 2086, 2101, 2112, 2131, 2155, 2160, 2332, 2416, 2440, 2699, 2850]"
139,34,"[43, 53, 147, 362, 442, 545, 567, 626, 704, 751, 809, 860, 862, 886, 960, 1107, 1201, 1204, 1229, 1280, 1407, 1432, 1482, 1518, 1573, 1698, 1826, 1985, 1999, 2043, 2105, 2642, 2716, 2921]"
140,31,"[193, 200, 254, 259, 274, 286, 620, 627, 725, 879, 914, 1433, 1454, 1535, 1615, 1770, 1824, 1857, 1918, 1930, 1940, 2082, 2093, 2110, 2174, 2180, 2337, 2486, 2638, 2714, 2908]"
141,46,"[30, 97, 202, 223, 243, 284, 365, 414, 486, 512, 606, 687, 694, 825, 920, 966, 1007, 1086, 1100, 1177, 1184, 1217, 1228, 1318, 1380, 1431, 1447, 1483, 1497, 1530, 1668, 1679, 1705, 1768, 1808, 1855, 1902, 2056, 2215, 2284, 2355, 2465, 2570, 2624, 2813, 2887]"
