Value,Occurrences,Indices
100,1,[930]
115,23,"[102, 113, 215, 269, 389, 497, 662, 919, 925, 983, 997, 1062, 1186, 1480, 1777, 1899, 1956, 2200, 2253, 2256, 2810, 2926, 3005]"
116,2,"[1237, 1259]"
117,21,"[142, 154, 270, 352, 439, 455, 467, 565, 577, 583, 1156, 1251, 1494, 1540, 1908, 1961, 2034, 2046, 2495, 2532, 2667]"
118,18,"[54, 156, 331, 569, 716, 1032, 1109, 1438, 1707, 1756, 1766, 1995, 2122, 2218, 2220, 2364, 3006, 3016]"
119,12,"[80, 909, 1137, 1301, 1629, 1738, 1823, 1877, 2064, 2348, 2462, 2870]"
120,16,"[21, 61, 84, 272, 385, 553, 626, 630, 646, 835, 843, 1014, 1025, 1460, 1618, 2623]"
121,41,"[72, 89, 91, 138, 172, 328, 330, 533, 622, 693, 700, 784, 856, 910, 953, 1043, 1138, 1180, 1201, 1402, 1446, 1549, 1636, 1715, 1743, 1754, 1814, 2006, 2011, 2090, 2222, 2298, 2337, 2354, 2554, 2586, 2618, 2693, 2829, 2874, 3034]"
122,24,"[49, 66, 321, 420, 458, 483, 604, 689, 897, 1094, 1476, 1479, 1482, 1527, 1699, 1989, 2083, 2091, 2106, 2227, 2309, 2694, 2889, 3036]"
123,12,"[211, 425, 509, 1065, 1115, 1534, 1714, 1819, 1949, 2608, 2704, 2930]"
124,11,"[20, 316, 336, 398, 537, 841, 870, 1083, 1349, 1737, 2515]"
125,20,"[185, 263, 315, 356, 382, 532, 676, 970, 1184, 1218, 1284, 1394, 1749, 1762, 1838, 2016, 2117, 2125, 2447, 2917]"
126,9,"[414, 752, 963, 1175, 1241, 2069, 2611, 2750, 2998]"
127,13,"[1, 70, 130, 228, 354, 699, 889, 1596, 1675, 1954, 2070, 2133, 2989]"
128,46,"[4, 126, 137, 194, 230, 257, 266, 475, 481, 628, 708, 730, 746, 1161, 1165, 1183, 1192, 1221, 1400, 1407, 1442, 1448, 1541, 1609, 1665, 1822, 1889, 2072, 2080, 2107, 2112, 2196, 2232, 2417, 2542, 2683, 2684, 2686, 2738, 2786, 2849, 2877, 2893, 2898, 2927, 3020]"
129,11,"[176, 309, 451, 793, 1100, 1760, 1840, 2021, 2197, 2321, 2988]"
130,21,"[107, 638, 991, 1028, 1104, 1185, 1233, 1555, 1583, 1624, 2007, 2277, 2297, 2300, 2465, 2717, 2737, 2744, 2798, 2937, 3000]"
131,25,"[81, 209, 260, 427, 474, 479, 518, 1107, 1308, 1445, 1676, 1937, 2027, 2180, 2450, 2472, 2545, 2563, 2580, 2679, 2701, 2821, 2881, 2993, 3023]"
132,30,"[26, 133, 302, 573, 632, 656, 805, 817, 838, 980, 1009, 1080, 1194, 1293, 1312, 1669, 1767, 1801, 1910, 1942, 1997, 2099, 2149, 2224, 2229, 2433, 2634, 2755, 2818, 2873]"
133,29,"[117, 169, 262, 378, 636, 707, 860, 906, 1081, 1122, 1246, 1852, 1874, 1955, 2038, 2169, 2274, 2288, 2303, 2415, 2438, 2569, 2598, 2676, 2742, 2799, 2903, 3031, 3057]"
134,37,"[19, 59, 247, 282, 285, 286, 317, 377, 517, 526, 529, 684, 783, 830, 877, 1173, 1197, 1206, 1433, 1478, 1521, 1637, 1981, 1982, 2323, 2334, 2346, 2353, 2357, 2471, 2544, 2770, 2826, 2884, 2929, 2956, 3054]"
135,18,"[274, 278, 521, 561, 781, 797, 879, 1470, 1502, 1586, 1904, 1921, 1941, 2032, 2228, 2408, 2500, 2671]"
136,32,"[16, 173, 334, 768, 892, 967, 971, 1055, 1126, 1127, 1166, 1225, 1230, 1265, 1290, 1420, 1519, 1579, 1813, 1914, 1980, 2109, 2155, 2215, 2322, 2574, 2641, 2765, 2847, 2879, 2921, 3058]"
137,41,"[27, 122, 491, 508, 556, 557, 603, 719, 836, 917, 969, 987, 1181, 1231, 1285, 1330, 1547, 1551, 1654, 1674, 1711, 1805, 1913, 1957, 2082, 2087, 2166, 2242, 2246, 2325, 2430, 2543, 2605, 2698, 2713, 2813, 2850, 2902, 2910, 2964, 2976]"
138,50,"[116, 409, 436, 470, 640, 673, 792, 861, 903, 1222, 1288, 1331, 1404, 1426, 1484, 1530, 1533, 1591, 1706, 1720, 1799, 1848, 1928, 1968, 2020, 2213, 2214, 2231, 2258, 2336, 2441, 2469, 2485, 2567, 2615, 2642, 2646, 2662, 2722, 2743, 2746, 2769, 2844, 2871, 2872, 2880, 2883, 2950, 2980, 3038]"
139,27,"[93, 105, 120, 171, 208, 353, 380, 476, 608, 668, 800, 918, 1151, 1236, 1742, 1782, 1824, 1930, 2178, 2279, 2369, 2428, 2599, 2633, 2655, 3026, 3049]"
140,15,"[520, 1150, 1177, 1213, 1354, 1435, 1538, 1687, 1797, 1809, 1851, 1963, 2031, 2260, 2994]"
141,25,"[313, 606, 679, 832, 890, 1006, 1097, 1163, 1310, 1367, 1378, 1471, 1841, 1865, 2002, 2061, 2102, 2173, 2223, 2268, 2352, 2388, 2448, 2723, 2754]"
142,25,"[32, 338, 536, 945, 947, 977, 1134, 1415, 1500, 1503, 1617, 1634, 1697, 1775, 1858, 1945, 1950, 2040, 2067, 2294, 2331, 2578, 2644, 2904, 2919]"
143,13,"[373, 399, 634, 642, 745, 1171, 1239, 1580, 1755, 2490, 2536, 2548, 2753]"
144,19,"[8, 213, 225, 728, 767, 845, 875, 911, 950, 1073, 1472, 1868, 1977, 2161, 2421, 2478, 2481, 2484, 2625]"
145,5,"[1311, 1920, 2044, 2092, 2467]"
146,10,"[177, 350, 1112, 1273, 1292, 1429, 1812, 2371, 2840, 2856]"
147,9,"[386, 460, 644, 1499, 1747, 1768, 1784, 1849, 1919]"
148,9,"[511, 844, 847, 988, 1379, 2243, 2281, 2540, 2763]"
149,10,"[111, 447, 471, 579, 826, 1052, 1451, 1935, 1946, 2561]"
150,7,"[901, 1615, 2307, 2445, 2640, 2862, 3004]"
151,6,"[170, 609, 2195, 2402, 2596, 2773]"
152,11,"[7, 443, 598, 683, 871, 2171, 2190, 2508, 2568, 2730, 2957]"
153,10,"[369, 575, 914, 928, 1129, 1140, 1215, 1573, 1779, 2105]"
154,8,"[224, 332, 1365, 1501, 1723, 2033, 2600, 2711]"
155,7,"[115, 762, 1002, 1594, 2390, 2422, 2678]"
156,8,"[384, 954, 1242, 1414, 1417, 1546, 2435, 3048]"
157,22,"[522, 552, 661, 697, 858, 962, 1051, 1232, 1296, 1322, 1329, 1506, 1511, 1588, 2088, 2400, 2424, 2468, 2885, 2908, 2933, 3017]"
158,12,"[52, 804, 848, 1091, 1371, 1752, 1832, 1924, 2527, 2546, 2681, 2691]"
159,14,"[392, 547, 791, 872, 1069, 1076, 1135, 1552, 1820, 1984, 2257, 2313, 2709, 3030]"
160,9,"[192, 290, 387, 631, 1020, 1037, 2085, 2130, 2987]"
161,23,"[114, 184, 199, 360, 383, 440, 495, 564, 585, 594, 704, 756, 1302, 1510, 1561, 1667, 2029, 2244, 2477, 2526, 2531, 2555, 2938]"
162,19,"[109, 152, 297, 370, 410, 459, 755, 1092, 1458, 1719, 2135, 2187, 2395, 2663, 2864, 2888, 2953, 2972, 3040]"
163,18,"[187, 195, 337, 709, 1272, 1732, 1792, 1931, 1996, 2004, 2095, 2123, 2250, 2273, 2367, 2379, 2781, 2783]"
164,20,"[205, 771, 1088, 1141, 1341, 1342, 1462, 1666, 1845, 1860, 2073, 2360, 2489, 2559, 2617, 2747, 2954, 2961, 3001, 3014]"
165,21,"[158, 281, 320, 496, 545, 760, 761, 812, 1041, 1120, 1217, 1440, 1474, 1978, 2269, 2271, 2285, 2409, 2516, 2666, 3045]"
166,31,"[22, 67, 94, 202, 236, 249, 310, 559, 968, 999, 1079, 1202, 1276, 1346, 1397, 1427, 1428, 1639, 1710, 1869, 1948, 2048, 2068, 2203, 2392, 2440, 2509, 2622, 2639, 2792, 3013]"
167,16,"[39, 191, 268, 854, 1114, 1441, 1459, 1517, 1619, 1856, 1888, 2207, 2237, 2538, 2906, 3052]"
168,20,"[125, 300, 305, 333, 539, 599, 614, 1159, 1327, 1357, 1393, 1489, 1498, 1607, 1695, 1765, 2113, 2150, 2391, 2974]"
169,24,"[44, 179, 193, 234, 256, 271, 275, 367, 696, 788, 790, 990, 1347, 1424, 1587, 1616, 1744, 1808, 1900, 2267, 2762, 2878, 2979, 3008]"
170,25,"[46, 110, 175, 255, 705, 757, 824, 932, 1016, 1155, 1269, 1287, 1295, 1430, 1645, 1672, 1698, 1887, 2028, 2562, 2632, 2635, 2817, 2942, 2986]"
171,20,"[144, 276, 445, 484, 513, 617, 671, 675, 834, 973, 979, 1044, 1053, 1254, 1362, 1369, 1944, 1969, 2973, 2996]"
172,17,"[221, 770, 819, 1049, 1067, 1406, 1463, 1572, 1613, 1863, 1898, 1903, 1927, 2045, 2114, 2291, 2668]"
173,27,"[121, 127, 492, 596, 601, 692, 712, 808, 887, 1119, 1283, 1689, 1763, 1847, 1917, 1932, 1985, 2009, 2192, 2241, 2270, 2304, 2423, 2482, 2602, 2940, 2949]"
174,20,"[143, 189, 400, 567, 611, 666, 785, 820, 857, 1226, 1317, 1340, 1385, 1434, 1576, 1802, 1873, 2444, 2896, 2990]"
175,23,"[95, 214, 379, 381, 472, 551, 726, 1082, 1160, 1178, 1328, 1748, 1862, 2094, 2201, 2286, 2358, 2413, 2624, 2649, 2842, 2895, 2947]"
176,25,"[73, 146, 294, 514, 605, 672, 759, 769, 994, 1256, 1577, 1659, 1861, 1867, 1923, 1974, 2023, 2111, 2168, 2522, 2550, 2557, 2592, 2767, 2837]"
177,28,"[83, 132, 200, 212, 349, 412, 437, 531, 654, 681, 694, 821, 1157, 1353, 1653, 1829, 1925, 1964, 2022, 2062, 2157, 2292, 2494, 2576, 2690, 2816, 2869, 2907]"
178,36,"[5, 280, 388, 448, 560, 682, 713, 773, 831, 1355, 1377, 1389, 1418, 1423, 1614, 1630, 1661, 1688, 1700, 1790, 1816, 1818, 2076, 2349, 2355, 2414, 2427, 2513, 2657, 2687, 2734, 2735, 2739, 2768, 2774, 2923]"
179,28,"[2, 160, 348, 415, 480, 512, 519, 878, 1040, 1142, 1168, 1359, 1810, 1971, 2014, 2039, 2058, 2255, 2345, 2361, 2459, 2473, 2479, 2571, 2800, 2934, 2983, 3055]"
180,29,"[23, 77, 239, 368, 426, 487, 629, 849, 920, 935, 1095, 1133, 1147, 1410, 1464, 1578, 1694, 1836, 1962, 1999, 2137, 2399, 2436, 2470, 2493, 2614, 2616, 2680, 2852]"
181,27,"[135, 241, 361, 648, 702, 766, 833, 1059, 1149, 1229, 1360, 1372, 1627, 1651, 1663, 1730, 1884, 1991, 1998, 2140, 2284, 2320, 2343, 2439, 2502, 2512, 2601]"
182,29,"[25, 42, 182, 340, 391, 498, 554, 690, 703, 717, 744, 907, 1146, 1164, 1198, 1516, 1610, 1703, 1975, 2030, 2148, 2152, 2266, 2397, 2443, 2455, 2572, 2593, 2963]"
183,25,"[28, 55, 79, 222, 261, 691, 944, 1060, 1066, 1425, 1452, 1504, 1602, 1835, 1959, 2047, 2247, 2341, 2363, 2514, 2699, 2788, 2845, 2941, 2982]"
184,24,"[6, 131, 416, 456, 593, 639, 754, 839, 933, 1005, 1078, 1098, 1148, 1334, 1495, 1789, 1891, 2018, 2103, 2296, 2328, 2377, 2505, 2935]"
185,33,"[29, 219, 468, 610, 720, 972, 1033, 1058, 1204, 1216, 1250, 1411, 1567, 1575, 1793, 1843, 1976, 2035, 2211, 2252, 2264, 2314, 2351, 2380, 2556, 2584, 2606, 2775, 2811, 2822, 2948, 2975, 3039]"
186,31,"[101, 124, 325, 407, 789, 893, 985, 1023, 1034, 1162, 1169, 1193, 1381, 1449, 1597, 1641, 1815, 1883, 2077, 2143, 2164, 2335, 2411, 2664, 2757, 2777, 2791, 2932, 2959, 3021, 3027]"
187,33,"[56, 74, 339, 446, 504, 591, 822, 863, 1027, 1212, 1248, 1294, 1496, 1556, 1600, 1640, 1658, 1680, 1791, 1897, 1901, 1967, 2121, 2263, 2359, 2434, 2672, 2677, 2729, 2745, 2955, 3024, 3035]"
188,38,"[326, 473, 486, 600, 659, 747, 864, 873, 1038, 1072, 1167, 1227, 1364, 1384, 1513, 1582, 1664, 1736, 1770, 1787, 1795, 1798, 1833, 2000, 2129, 2212, 2329, 2442, 2461, 2645, 2700, 2760, 2836, 2851, 2890, 2892, 2924, 2969]"
189,44,"[17, 85, 161, 174, 203, 355, 362, 363, 402, 417, 501, 506, 587, 647, 664, 674, 688, 1057, 1145, 1314, 1422, 1467, 1469, 1558, 1621, 1638, 1717, 1727, 1938, 2042, 2066, 2126, 2182, 2245, 2311, 2416, 2454, 2498, 2630, 2731, 2841, 2882, 2960, 2977]"
190,32,"[24, 82, 240, 397, 503, 779, 796, 868, 908, 948, 1018, 1086, 1264, 1275, 1490, 1514, 1515, 1542, 1772, 1880, 1906, 1926, 1933, 1988, 2063, 2340, 2389, 2393, 2418, 2566, 2661, 2825]"
191,41,"[148, 457, 461, 581, 613, 734, 899, 900, 952, 959, 1132, 1182, 1262, 1319, 1344, 1477, 1532, 1543, 1560, 1643, 1778, 1830, 1979, 2026, 2051, 2052, 2097, 2188, 2238, 2248, 2316, 2404, 2425, 2506, 2708, 2740, 2766, 2834, 2915, 2952, 3044]"
192,42,"[3, 96, 254, 283, 335, 359, 431, 530, 619, 687, 695, 741, 827, 880, 993, 1117, 1279, 1306, 1380, 1421, 1488, 1604, 1642, 1724, 1776, 1817, 1894, 1916, 2055, 2081, 2141, 2162, 2265, 2405, 2658, 2752, 2846, 2853, 2891, 3012, 3019, 3037]"
193,44,"[76, 98, 165, 166, 251, 422, 444, 450, 729, 818, 884, 949, 984, 1004, 1263, 1336, 1368, 1388, 1401, 1450, 1512, 1581, 1620, 1644, 1701, 1721, 1866, 1886, 1947, 1972, 2100, 2101, 2204, 2401, 2520, 2549, 2689, 2695, 2782, 2787, 2823, 2835, 2855, 2861]"
194,31,"[118, 207, 312, 650, 724, 763, 931, 1003, 1085, 1118, 1158, 1203, 1205, 1228, 1274, 1486, 1505, 1548, 1569, 1696, 1878, 1943, 2053, 2449, 2492, 2530, 2714, 2749, 2807, 2865, 2984]"
195,48,"[13, 112, 134, 163, 223, 627, 807, 894, 895, 896, 929, 940, 958, 961, 1012, 1035, 1056, 1108, 1124, 1136, 1219, 1280, 1307, 1316, 1348, 1453, 1456, 1589, 1608, 1623, 1783, 1912, 1951, 1970, 1990, 2043, 2236, 2466, 2585, 2721, 2795, 2832, 2876, 2900, 2914, 2970, 2971, 3064]"
196,53,"[15, 18, 68, 237, 259, 273, 469, 489, 764, 869, 939, 1031, 1113, 1128, 1143, 1195, 1244, 1271, 1345, 1383, 1509, 1522, 1526, 1537, 1599, 1722, 1731, 1773, 1827, 1842, 1872, 1892, 1893, 2012, 2065, 2282, 2327, 2356, 2419, 2420, 2429, 2432, 2456, 2497, 2581, 2619, 2716, 2725, 2809, 2815, 2965, 3003, 3007]"
197,47,"[45, 151, 159, 229, 246, 288, 295, 304, 507, 620, 635, 677, 731, 749, 874, 1026, 1174, 1337, 1492, 1559, 1646, 1691, 1780, 1855, 1922, 2050, 2057, 2118, 2189, 2483, 2503, 2518, 2519, 2535, 2560, 2629, 2643, 2707, 2718, 2719, 2720, 2776, 2812, 2827, 2831, 2981, 3041]"
198,51,"[41, 90, 119, 139, 147, 238, 411, 541, 550, 568, 602, 758, 795, 798, 816, 853, 885, 957, 964, 1021, 1022, 1077, 1170, 1286, 1332, 1409, 1457, 1544, 1554, 1625, 1716, 1875, 1953, 2059, 2128, 2132, 2147, 2154, 2172, 2276, 2305, 2342, 2378, 2426, 2431, 2685, 2756, 2867, 2875, 3018, 3042]"
199,49,"[0, 43, 50, 104, 296, 303, 395, 500, 580, 738, 886, 936, 1019, 1070, 1087, 1130, 1153, 1179, 1454, 1570, 1601, 1605, 1647, 1683, 1690, 1708, 1734, 1739, 1753, 1759, 1800, 1850, 1965, 2060, 2074, 2086, 2210, 2216, 2310, 2381, 2486, 2491, 2521, 2529, 2553, 2579, 2595, 2797, 2912]"
200,54,"[299, 301, 311, 365, 396, 423, 499, 524, 576, 584, 615, 665, 680, 710, 772, 876, 888, 902, 978, 1235, 1240, 1249, 1413, 1468, 1473, 1523, 1584, 1652, 1781, 1839, 1871, 1905, 1952, 2024, 2078, 2131, 2186, 2261, 2338, 2406, 2451, 2590, 2597, 2621, 2732, 2736, 2758, 2784, 2806, 2808, 2854, 2886, 2967, 3047]"
201,45,"[14, 136, 178, 206, 220, 264, 516, 667, 685, 742, 765, 829, 866, 898, 926, 943, 1054, 1121, 1188, 1207, 1376, 1443, 1444, 1633, 1656, 1679, 1769, 1803, 1811, 1885, 2037, 2096, 2176, 2184, 2249, 2376, 2407, 2452, 2510, 2631, 2648, 2673, 2703, 3011, 3025]"
202,60,"[34, 40, 71, 103, 140, 232, 347, 432, 453, 454, 534, 574, 624, 727, 740, 813, 823, 825, 862, 921, 955, 960, 982, 986, 1015, 1101, 1144, 1234, 1335, 1338, 1352, 1387, 1483, 1525, 1712, 1728, 1758, 1774, 1807, 1973, 2008, 2054, 2071, 2075, 2134, 2151, 2159, 2179, 2209, 2225, 2259, 2627, 2653, 2688, 2715, 2794, 2805, 2833, 2911, 2997]"
203,52,"[267, 289, 341, 351, 408, 433, 435, 515, 546, 590, 607, 633, 649, 715, 776, 850, 912, 1061, 1211, 1270, 1303, 1313, 1320, 1391, 1431, 1487, 1529, 1631, 1635, 1648, 1785, 1786, 1882, 2239, 2290, 2306, 2315, 2347, 2410, 2457, 2504, 2582, 2588, 2620, 2626, 2650, 2804, 2946, 2985, 2992, 3015, 3032]"
204,53,"[86, 217, 227, 319, 357, 419, 430, 490, 571, 701, 718, 777, 780, 799, 852, 924, 966, 1050, 1102, 1125, 1189, 1238, 1257, 1266, 1268, 1282, 1325, 1358, 1361, 1392, 1437, 1439, 1757, 1794, 1834, 1857, 1890, 2115, 2144, 2156, 2293, 2317, 2541, 2551, 2594, 2674, 2682, 2724, 2728, 2780, 2793, 2796, 2819]"
