Value,Occurrences,Indices
94,45,"[13, 46, 139, 152, 166, 169, 209, 212, 235, 292, 294, 302, 309, 378, 538, 600, 654, 667, 765, 773, 778, 785, 891, 904, 1055, 1119, 1284, 1381, 1390, 1391, 1412, 1428, 1451, 1776, 1799, 1861, 1870, 1977, 2211, 2261, 2442, 2660, 2684, 2745, 2969]"
97,30,"[15, 19, 131, 147, 227, 320, 563, 592, 757, 769, 890, 983, 1032, 1232, 1253, 1415, 1654, 1678, 1727, 1754, 1822, 2443, 2520, 2561, 2581, 2713, 2798, 2945, 2995, 3019]"
99,47,"[45, 49, 64, 90, 133, 215, 280, 327, 339, 444, 516, 655, 708, 719, 770, 818, 900, 950, 967, 1036, 1053, 1123, 1179, 1279, 1292, 1314, 1342, 1353, 1466, 1606, 1689, 1733, 1764, 1797, 1831, 2037, 2075, 2109, 2167, 2401, 2423, 2557, 2619, 2747, 2790, 2830, 2979]"
100,438,"[0, 1, 5, 9, 12, 16, 17, 20, 22, 27, 31, 39, 40, 48, 50, 55, 60, 68, 70, 79, 87, 91, 94, 117, 120, 125, 129, 132, 151, 153, 154, 165, 173, 175, 176, 186, 189, 200, 206, 207, 213, 214, 219, 234, 237, 242, 244, 247, 248, 251, 257, 258, 262, 268, 272, 273, 282, 284, 287, 297, 298, 303, 321, 325, 342, 346, 364, 380, 385, 387, 393, 402, 404, 410, 411, 420, 423, 431, 432, 442, 443, 446, 448, 449, 451, 463, 470, 473, 484, 485, 491, 496, 504, 505, 508, 513, 515, 517, 520, 531, 537, 545, 553, 562, 571, 574, 575, 576, 593, 599, 601, 603, 606, 607, 609, 613, 625, 627, 633, 644, 658, 665, 675, 677, 688, 692, 714, 726, 733, 735, 739, 745, 749, 755, 758, 764, 766, 768, 774, 779, 783, 787, 788, 789, 792, 799, 809, 815, 819, 826, 833, 835, 843, 845, 850, 867, 873, 878, 888, 893, 895, 899, 908, 916, 919, 920, 925, 927, 941, 944, 952, 955, 956, 966, 968, 970, 977, 993, 995, 1003, 1007, 1018, 1026, 1028, 1041, 1045, 1056, 1074, 1077, 1081, 1102, 1103, 1104, 1110, 1118, 1135, 1137, 1139, 1140, 1142, 1156, 1161, 1170, 1202, 1204, 1214, 1215, 1221, 1223, 1224, 1228, 1236, 1241, 1242, 1246, 1256, 1266, 1285, 1286, 1302, 1307, 1311, 1320, 1322, 1328, 1339, 1341, 1343, 1351, 1354, 1357, 1361, 1371, 1373, 1379, 1387, 1396, 1406, 1407, 1429, 1430, 1433, 1438, 1440, 1447, 1450, 1455, 1459, 1464, 1472, 1475, 1490, 1492, 1509, 1511, 1519, 1543, 1566, 1568, 1569, 1573, 1579, 1588, 1590, 1595, 1616, 1625, 1642, 1650, 1667, 1670, 1694, 1695, 1705, 1707, 1710, 1713, 1726, 1739, 1747, 1795, 1820, 1823, 1833, 1834, 1836, 1838, 1841, 1843, 1845, 1850, 1886, 1892, 1895, 1896, 1903, 1905, 1919, 1920, 1922, 1927, 1930, 1932, 1933, 1942, 1957, 1965, 1970, 1972, 1987, 2003, 2004, 2016, 2028, 2035, 2039, 2041, 2044, 2068, 2081, 2086, 2088, 2098, 2133, 2143, 2146, 2149, 2152, 2155, 2157, 2161, 2170, 2171, 2173, 2191, 2204, 2227, 2232, 2246, 2269, 2271, 2273, 2291, 2292, 2293, 2294, 2297, 2314, 2319, 2327, 2329, 2350, 2355, 2359, 2360, 2368, 2373, 2383, 2394, 2411, 2414, 2415, 2428, 2431, 2450, 2451, 2454, 2459, 2465, 2468, 2474, 2481, 2485, 2500, 2505, 2517, 2527, 2530, 2536, 2538, 2553, 2580, 2582, 2593, 2596, 2604, 2608, 2609, 2613, 2623, 2626, 2633, 2635, 2639, 2644, 2649, 2661, 2665, 2670, 2673, 2688, 2691, 2695, 2700, 2734, 2738, 2752, 2756, 2768, 2775, 2782, 2797, 2817, 2843, 2865, 2873, 2883, 2910, 2923, 2928, 2929, 2931, 2940, 2950, 2954, 2960, 2965, 2966, 2970, 2972, 2989, 2997, 2999, 3005, 3018, 3021, 3025, 3029]"
101,53,"[47, 103, 115, 116, 210, 267, 281, 315, 349, 390, 437, 477, 620, 670, 816, 821, 859, 909, 1058, 1059, 1158, 1188, 1207, 1225, 1437, 1453, 1488, 1504, 1541, 1604, 1685, 1775, 1788, 1874, 1948, 1986, 2114, 2116, 2131, 2225, 2263, 2348, 2381, 2408, 2436, 2472, 2518, 2678, 2774, 2811, 2837, 2853, 2921]"
102,199,"[7, 11, 59, 69, 80, 100, 105, 121, 130, 140, 163, 164, 220, 269, 274, 276, 285, 289, 306, 324, 329, 341, 360, 361, 362, 412, 428, 460, 471, 478, 483, 543, 561, 584, 590, 639, 643, 646, 651, 657, 661, 666, 668, 686, 687, 700, 704, 728, 761, 811, 827, 841, 847, 848, 852, 861, 870, 883, 913, 945, 963, 971, 982, 986, 988, 1005, 1011, 1029, 1072, 1083, 1098, 1136, 1151, 1153, 1164, 1174, 1258, 1260, 1262, 1309, 1310, 1313, 1317, 1358, 1374, 1383, 1410, 1419, 1445, 1461, 1468, 1470, 1494, 1496, 1499, 1501, 1513, 1525, 1565, 1601, 1620, 1640, 1649, 1676, 1681, 1730, 1734, 1736, 1752, 1765, 1794, 1803, 1817, 1829, 1842, 1851, 1859, 1879, 1880, 1885, 1894, 1899, 1900, 1934, 1945, 1949, 1964, 1981, 1989, 1990, 2002, 2012, 2033, 2060, 2062, 2070, 2090, 2113, 2129, 2141, 2147, 2156, 2158, 2169, 2185, 2200, 2236, 2250, 2258, 2341, 2344, 2353, 2364, 2369, 2370, 2376, 2402, 2435, 2486, 2504, 2549, 2550, 2560, 2562, 2594, 2600, 2602, 2611, 2653, 2657, 2711, 2715, 2719, 2737, 2740, 2787, 2796, 2801, 2814, 2829, 2835, 2841, 2845, 2870, 2871, 2876, 2889, 2893, 2897, 2898, 2902, 2933, 2958, 2973, 2976, 2978, 2980, 3010, 3022]"
103,86,"[10, 18, 53, 75, 76, 211, 275, 310, 313, 333, 343, 372, 409, 424, 430, 457, 511, 541, 544, 560, 594, 626, 640, 725, 840, 866, 892, 954, 978, 1062, 1122, 1129, 1187, 1200, 1243, 1247, 1257, 1271, 1277, 1298, 1308, 1467, 1498, 1523, 1524, 1545, 1597, 1628, 1645, 1674, 1683, 1688, 1769, 1774, 1827, 1935, 1958, 1968, 1971, 1995, 2032, 2054, 2123, 2128, 2181, 2298, 2300, 2306, 2331, 2378, 2412, 2487, 2508, 2526, 2548, 2612, 2697, 2702, 2721, 2751, 2795, 2809, 2816, 2869, 2953, 3023]"
104,50,"[126, 187, 249, 278, 288, 335, 367, 481, 498, 616, 671, 717, 746, 855, 881, 885, 961, 1016, 1095, 1462, 1497, 1518, 1577, 1619, 1621, 1749, 1751, 1825, 1865, 1985, 2025, 2059, 2064, 2174, 2247, 2317, 2322, 2476, 2482, 2597, 2629, 2718, 2725, 2764, 2767, 2772, 2785, 2877, 2879, 2964]"
105,20,"[148, 492, 525, 551, 814, 830, 923, 938, 1027, 1107, 1193, 1278, 1792, 2056, 2214, 2384, 2489, 2667, 2807, 2906]"
106,81,"[218, 221, 245, 261, 398, 480, 488, 529, 706, 709, 710, 730, 805, 825, 948, 965, 989, 1031, 1034, 1060, 1066, 1068, 1075, 1117, 1141, 1171, 1270, 1295, 1304, 1315, 1329, 1344, 1372, 1403, 1416, 1422, 1481, 1485, 1520, 1551, 1632, 1637, 1644, 1657, 1662, 1703, 1753, 1758, 1773, 1809, 1858, 1940, 1996, 1998, 2014, 2023, 2104, 2107, 2203, 2221, 2222, 2245, 2268, 2332, 2388, 2406, 2429, 2437, 2447, 2473, 2499, 2573, 2576, 2599, 2606, 2648, 2749, 2866, 2903, 2942, 2993]"
107,87,"[30, 32, 66, 67, 88, 104, 137, 178, 217, 223, 307, 311, 340, 368, 386, 406, 418, 482, 526, 585, 641, 679, 705, 720, 737, 806, 832, 834, 842, 862, 907, 946, 962, 1023, 1025, 1109, 1213, 1226, 1273, 1281, 1312, 1367, 1418, 1439, 1487, 1507, 1536, 1737, 1744, 1931, 1960, 1967, 2018, 2040, 2125, 2127, 2176, 2296, 2347, 2374, 2382, 2427, 2469, 2551, 2566, 2627, 2641, 2662, 2666, 2727, 2750, 2760, 2783, 2799, 2820, 2822, 2842, 2850, 2851, 2855, 2860, 2875, 2939, 2941, 3000, 3002, 3007]"
108,15,"[142, 193, 521, 623, 736, 949, 1002, 1237, 1515, 1602, 2006, 2421, 2730, 2789, 2899]"
109,67,"[21, 98, 106, 194, 208, 228, 319, 336, 461, 476, 522, 547, 570, 624, 635, 689, 748, 797, 972, 1039, 1089, 1132, 1145, 1147, 1159, 1185, 1227, 1283, 1321, 1346, 1474, 1587, 1624, 1706, 1725, 1869, 1877, 1924, 1976, 1980, 2027, 2067, 2102, 2108, 2120, 2205, 2215, 2259, 2282, 2316, 2321, 2380, 2395, 2397, 2510, 2603, 2701, 2720, 2733, 2755, 2827, 2880, 2913, 2951, 2991, 2996, 3015]"
110,60,"[28, 41, 63, 118, 141, 172, 182, 188, 231, 240, 300, 308, 312, 314, 317, 391, 548, 591, 659, 723, 836, 837, 957, 991, 1014, 1033, 1080, 1126, 1432, 1482, 1500, 1581, 1638, 1715, 1748, 1756, 1757, 1778, 1780, 1813, 1816, 1912, 2017, 2047, 2091, 2140, 2187, 2208, 2371, 2439, 2453, 2455, 2463, 2516, 2558, 2636, 2659, 2687, 2692, 2867]"
111,11,"[472, 497, 502, 512, 1636, 1746, 1893, 2309, 2846, 2914, 2984]"
112,53,"[122, 124, 479, 550, 696, 734, 743, 790, 807, 987, 992, 998, 1051, 1061, 1088, 1113, 1115, 1120, 1229, 1263, 1287, 1365, 1377, 1382, 1384, 1479, 1517, 1527, 1572, 1659, 1804, 1840, 1910, 1917, 1984, 2005, 2106, 2178, 2255, 2386, 2440, 2452, 2493, 2503, 2710, 2815, 2859, 2885, 2886, 2927, 2992, 3009, 3020]"
113,60,"[111, 119, 134, 135, 177, 199, 233, 264, 283, 382, 453, 499, 569, 573, 615, 669, 702, 857, 901, 915, 926, 953, 1024, 1093, 1152, 1231, 1289, 1333, 1337, 1380, 1411, 1431, 1552, 1554, 1735, 1741, 1796, 1798, 1826, 1928, 1962, 1994, 2048, 2049, 2055, 2325, 2352, 2409, 2432, 2470, 2507, 2514, 2595, 2748, 2872, 2948, 2982, 2983, 3008, 3026]"
114,24,"[138, 419, 608, 678, 860, 1063, 1073, 1446, 1547, 1648, 1680, 1819, 1862, 1952, 2051, 2052, 2190, 2312, 2367, 2521, 2763, 2804, 2944, 3011]"
115,6,"[587, 782, 1288, 1913, 2230, 2238]"
116,15,"[201, 1334, 1395, 1646, 1647, 1876, 1907, 1923, 2136, 2144, 2621, 2674, 2680, 2794, 2831]"
117,14,"[653, 1483, 1538, 1691, 1723, 1818, 2030, 2126, 2159, 2334, 2339, 2821, 2971, 3013]"
118,6,"[1210, 1844, 1908, 2513, 2736, 2919]"
119,1,[2399]
120,2,"[2522, 2717]"
121,7,"[265, 286, 612, 762, 1567, 1835, 2930]"
122,3,"[936, 2182, 2467]"
123,4,"[897, 1006, 1888, 2216]"
124,3,"[1157, 1671, 2709]"
125,1,[2531]
126,1,[2362]
127,1,[1335]
128,1,[29]
129,4,"[84, 558, 647, 2540]"
