Value,Occurrences,Indices
221,3,"[26, 442, 978]"
222,1,[468]
223,9,"[198, 541, 1046, 1079, 1260, 1330, 1956, 2152, 2188]"
224,6,"[0, 709, 871, 1724, 1971, 2067]"
225,3,"[41, 780, 1811]"
226,6,"[152, 565, 587, 607, 828, 2306]"
227,5,"[286, 616, 1059, 2043, 2760]"
228,2,"[2044, 2404]"
229,6,"[203, 278, 2006, 2206, 2291, 2706]"
230,8,"[24, 333, 349, 548, 1221, 1910, 2390, 2736]"
231,7,"[376, 458, 618, 653, 2612, 2774, 2854]"
232,5,"[374, 478, 1713, 2767, 2884]"
233,8,"[81, 256, 522, 796, 1425, 1453, 1797, 2132]"
234,7,"[334, 695, 716, 860, 1256, 1550, 2666]"
235,7,"[375, 795, 1445, 1502, 1736, 1931, 1972]"
236,8,"[1, 225, 543, 558, 949, 1077, 1737, 1859]"
237,13,"[31, 154, 200, 591, 604, 655, 2247, 2310, 2332, 2573, 2628, 2685, 2868]"
238,8,"[182, 314, 582, 912, 952, 1335, 1871, 2133]"
239,9,"[137, 234, 319, 574, 713, 1093, 1098, 1504, 1973]"
240,17,"[115, 161, 196, 933, 1010, 1086, 1263, 1464, 1732, 1742, 1772, 2011, 2069, 2085, 2309, 2489, 2886]"
241,12,"[344, 395, 864, 868, 878, 1081, 1294, 1827, 2070, 2531, 2596, 2931]"
242,17,"[53, 210, 231, 482, 544, 733, 807, 896, 926, 948, 1002, 1354, 1357, 1420, 1441, 2008, 2212]"
243,22,"[60, 144, 145, 166, 307, 382, 435, 555, 598, 944, 1109, 1507, 1516, 1544, 1668, 1836, 2138, 2207, 2605, 2626, 2782, 2878]"
244,32,"[43, 94, 134, 215, 251, 276, 326, 367, 388, 439, 453, 597, 643, 708, 821, 885, 938, 1094, 1181, 1355, 1508, 1594, 1640, 1726, 1882, 1925, 1930, 2365, 2465, 2530, 2734, 2819]"
245,19,"[158, 181, 208, 282, 294, 365, 436, 644, 688, 689, 877, 917, 919, 1693, 1786, 2604, 2689, 2727, 2835]"
246,32,"[22, 63, 66, 86, 176, 209, 249, 429, 678, 736, 766, 1267, 1379, 1463, 1465, 1591, 1592, 1642, 1690, 1708, 1727, 1862, 1864, 1914, 2210, 2270, 2362, 2439, 2472, 2568, 2679, 2695]"
247,50,"[65, 174, 188, 216, 218, 266, 274, 350, 368, 437, 509, 515, 654, 754, 777, 808, 820, 881, 915, 918, 959, 1043, 1058, 1108, 1131, 1308, 1345, 1482, 1621, 1637, 1880, 2041, 2045, 2137, 2178, 2190, 2313, 2415, 2438, 2473, 2533, 2539, 2553, 2646, 2680, 2756, 2822, 2829, 2857, 2891]"
248,81,"[50, 51, 107, 129, 165, 187, 207, 227, 232, 242, 281, 300, 304, 377, 380, 390, 392, 441, 487, 521, 613, 632, 744, 831, 895, 955, 1035, 1038, 1084, 1104, 1119, 1212, 1223, 1276, 1298, 1307, 1341, 1415, 1432, 1503, 1505, 1548, 1584, 1587, 1595, 1596, 1617, 1661, 1696, 1785, 1919, 1954, 1960, 1966, 1970, 2002, 2039, 2057, 2108, 2117, 2123, 2286, 2292, 2316, 2408, 2429, 2441, 2447, 2506, 2520, 2549, 2625, 2696, 2725, 2757, 2793, 2795, 2841, 2864, 2882, 2910]"
249,84,"[4, 13, 30, 52, 76, 113, 167, 172, 195, 233, 260, 317, 321, 324, 338, 372, 398, 402, 430, 519, 538, 552, 557, 575, 601, 617, 627, 651, 833, 854, 966, 975, 994, 1022, 1105, 1121, 1135, 1265, 1281, 1306, 1309, 1337, 1351, 1409, 1418, 1426, 1431, 1469, 1533, 1537, 1572, 1613, 1673, 1676, 1733, 1822, 1833, 1877, 2088, 2093, 2164, 2184, 2265, 2295, 2389, 2456, 2490, 2517, 2523, 2524, 2529, 2535, 2562, 2638, 2644, 2701, 2707, 2720, 2738, 2755, 2792, 2807, 2872, 2905]"
250,133,"[12, 17, 19, 38, 39, 56, 58, 68, 75, 92, 95, 98, 105, 112, 124, 140, 163, 183, 205, 238, 239, 244, 265, 267, 291, 299, 302, 305, 306, 309, 339, 343, 345, 346, 352, 370, 397, 415, 417, 432, 447, 448, 474, 490, 510, 514, 526, 563, 674, 702, 703, 726, 767, 790, 801, 813, 830, 832, 863, 870, 904, 953, 1008, 1100, 1124, 1139, 1182, 1183, 1282, 1350, 1369, 1375, 1382, 1384, 1390, 1411, 1424, 1529, 1606, 1639, 1641, 1649, 1748, 1774, 1791, 1829, 1832, 1841, 1874, 1892, 1893, 1894, 1903, 1908, 1921, 1927, 1958, 2007, 2030, 2031, 2035, 2040, 2066, 2094, 2128, 2135, 2155, 2205, 2218, 2222, 2240, 2268, 2350, 2384, 2388, 2391, 2402, 2437, 2497, 2527, 2540, 2556, 2584, 2656, 2674, 2687, 2762, 2791, 2833, 2834, 2877, 2885, 2898]"
251,175,"[3, 8, 10, 18, 28, 42, 47, 54, 70, 77, 82, 84, 88, 91, 97, 103, 104, 117, 132, 133, 136, 141, 164, 173, 186, 191, 202, 220, 237, 246, 248, 259, 311, 327, 332, 336, 387, 391, 393, 424, 427, 438, 445, 451, 492, 508, 516, 542, 546, 568, 586, 610, 623, 626, 646, 647, 649, 668, 718, 730, 787, 791, 792, 837, 845, 897, 934, 961, 976, 1003, 1004, 1018, 1041, 1048, 1053, 1056, 1076, 1080, 1095, 1111, 1118, 1130, 1132, 1140, 1144, 1205, 1211, 1235, 1248, 1252, 1262, 1266, 1269, 1451, 1466, 1467, 1470, 1474, 1501, 1539, 1542, 1547, 1581, 1634, 1635, 1667, 1672, 1674, 1686, 1719, 1758, 1831, 1855, 1869, 1881, 1897, 1906, 1915, 1922, 1929, 1932, 1936, 1980, 1997, 2016, 2019, 2083, 2125, 2130, 2182, 2244, 2248, 2250, 2269, 2273, 2307, 2314, 2346, 2359, 2364, 2399, 2400, 2403, 2424, 2432, 2433, 2442, 2449, 2452, 2467, 2476, 2493, 2495, 2515, 2574, 2588, 2590, 2642, 2667, 2672, 2675, 2700, 2718, 2744, 2751, 2758, 2759, 2779, 2789, 2794, 2838, 2873, 2907, 2916, 2943]"
252,265,"[2, 15, 33, 36, 49, 55, 64, 67, 71, 74, 89, 99, 108, 110, 111, 114, 118, 126, 142, 155, 156, 160, 171, 192, 199, 252, 268, 303, 316, 320, 325, 348, 353, 355, 373, 379, 381, 389, 412, 413, 425, 444, 457, 459, 466, 470, 472, 476, 477, 479, 480, 489, 523, 535, 550, 559, 567, 571, 594, 599, 608, 622, 630, 631, 658, 670, 672, 673, 711, 728, 729, 737, 750, 769, 779, 781, 789, 825, 838, 839, 844, 859, 862, 882, 889, 890, 894, 902, 908, 924, 951, 960, 979, 992, 1012, 1017, 1024, 1036, 1057, 1064, 1074, 1092, 1096, 1127, 1128, 1150, 1152, 1174, 1186, 1187, 1203, 1214, 1216, 1217, 1219, 1239, 1241, 1280, 1288, 1289, 1299, 1305, 1336, 1339, 1346, 1349, 1353, 1370, 1374, 1377, 1388, 1408, 1421, 1423, 1443, 1459, 1490, 1494, 1496, 1499, 1500, 1517, 1519, 1545, 1574, 1578, 1588, 1593, 1607, 1609, 1619, 1638, 1663, 1675, 1681, 1684, 1687, 1697, 1705, 1709, 1715, 1722, 1728, 1738, 1743, 1757, 1787, 1800, 1801, 1813, 1816, 1823, 1837, 1854, 1872, 1876, 1905, 1924, 1934, 1946, 1975, 1984, 1995, 1998, 2005, 2009, 2013, 2015, 2038, 2058, 2061, 2074, 2077, 2082, 2087, 2092, 2096, 2097, 2140, 2143, 2170, 2181, 2195, 2197, 2211, 2236, 2245, 2255, 2272, 2275, 2276, 2280, 2283, 2305, 2317, 2329, 2342, 2349, 2370, 2393, 2425, 2426, 2428, 2468, 2469, 2471, 2474, 2504, 2541, 2545, 2564, 2567, 2572, 2601, 2613, 2619, 2629, 2637, 2652, 2677, 2681, 2703, 2710, 2712, 2714, 2731, 2733, 2781, 2783, 2790, 2798, 2806, 2814, 2826, 2830, 2843, 2845, 2847, 2850, 2858, 2863, 2890, 2912, 2913, 2926]"
253,410,"[5, 7, 11, 20, 21, 23, 25, 27, 29, 46, 48, 59, 62, 72, 73, 79, 85, 87, 93, 96, 101, 106, 121, 125, 130, 131, 135, 143, 179, 184, 194, 201, 212, 217, 219, 221, 222, 224, 229, 236, 250, 263, 264, 272, 283, 285, 287, 288, 289, 290, 293, 308, 313, 315, 322, 330, 340, 347, 364, 394, 399, 400, 408, 411, 440, 443, 452, 455, 483, 498, 506, 512, 527, 534, 547, 551, 553, 556, 560, 566, 569, 572, 580, 588, 590, 605, 609, 611, 619, 629, 635, 656, 659, 660, 662, 663, 671, 680, 681, 682, 683, 686, 691, 692, 697, 710, 712, 715, 725, 731, 734, 735, 740, 743, 764, 765, 772, 774, 788, 797, 798, 799, 804, 815, 829, 843, 846, 852, 853, 857, 861, 872, 873, 875, 884, 887, 892, 911, 914, 921, 930, 939, 943, 947, 956, 958, 974, 977, 993, 1007, 1019, 1032, 1033, 1037, 1039, 1049, 1054, 1055, 1062, 1069, 1078, 1082, 1102, 1103, 1125, 1133, 1138, 1141, 1143, 1147, 1153, 1171, 1177, 1178, 1184, 1185, 1188, 1189, 1194, 1218, 1220, 1222, 1229, 1234, 1251, 1258, 1279, 1293, 1296, 1301, 1302, 1303, 1323, 1328, 1333, 1358, 1363, 1365, 1376, 1383, 1387, 1402, 1404, 1417, 1430, 1433, 1436, 1447, 1455, 1458, 1468, 1476, 1478, 1480, 1487, 1506, 1509, 1518, 1551, 1555, 1563, 1564, 1571, 1577, 1583, 1589, 1599, 1602, 1603, 1612, 1615, 1624, 1629, 1631, 1633, 1644, 1656, 1662, 1664, 1670, 1677, 1694, 1699, 1704, 1712, 1716, 1717, 1735, 1741, 1749, 1754, 1767, 1770, 1773, 1782, 1803, 1814, 1820, 1821, 1828, 1851, 1856, 1863, 1865, 1866, 1867, 1878, 1888, 1909, 1916, 1918, 1926, 1928, 1941, 1944, 1963, 1979, 1989, 2003, 2010, 2025, 2026, 2034, 2046, 2068, 2072, 2076, 2079, 2091, 2099, 2104, 2107, 2109, 2111, 2114, 2115, 2124, 2136, 2144, 2160, 2165, 2168, 2175, 2176, 2183, 2186, 2189, 2198, 2200, 2202, 2224, 2226, 2232, 2249, 2252, 2262, 2266, 2281, 2282, 2298, 2300, 2302, 2304, 2337, 2340, 2341, 2352, 2360, 2371, 2397, 2398, 2406, 2407, 2416, 2419, 2420, 2461, 2464, 2479, 2481, 2483, 2486, 2487, 2507, 2508, 2534, 2550, 2560, 2565, 2566, 2571, 2580, 2592, 2614, 2617, 2622, 2635, 2636, 2640, 2645, 2647, 2650, 2658, 2663, 2665, 2678, 2690, 2694, 2697, 2698, 2699, 2702, 2717, 2719, 2730, 2747, 2749, 2754, 2768, 2772, 2773, 2777, 2786, 2800, 2805, 2808, 2809, 2810, 2812, 2817, 2821, 2823, 2828, 2831, 2832, 2839, 2842, 2849, 2851, 2853, 2861, 2870, 2875, 2914, 2919, 2920, 2921, 2929, 2937, 2941]"
254,512,"[6, 9, 14, 16, 32, 37, 40, 45, 61, 83, 90, 100, 109, 116, 120, 122, 127, 139, 149, 153, 157, 159, 162, 170, 177, 178, 180, 185, 189, 193, 197, 204, 206, 213, 214, 223, 228, 230, 241, 245, 258, 261, 275, 295, 297, 301, 318, 329, 331, 337, 351, 356, 363, 366, 369, 371, 378, 383, 384, 385, 396, 405, 410, 414, 416, 418, 422, 426, 431, 433, 446, 449, 454, 469, 481, 486, 494, 497, 500, 501, 511, 517, 518, 529, 532, 537, 539, 540, 549, 562, 570, 576, 579, 589, 592, 600, 614, 615, 621, 625, 642, 645, 650, 652, 661, 675, 690, 694, 696, 701, 714, 717, 719, 721, 722, 724, 751, 752, 753, 757, 763, 770, 803, 806, 809, 812, 816, 826, 834, 847, 851, 858, 865, 867, 874, 876, 880, 883, 899, 916, 920, 923, 931, 935, 936, 937, 940, 941, 964, 965, 971, 972, 973, 985, 989, 995, 996, 997, 1000, 1005, 1006, 1009, 1011, 1014, 1015, 1025, 1026, 1031, 1040, 1042, 1047, 1050, 1051, 1063, 1067, 1068, 1071, 1072, 1073, 1085, 1089, 1099, 1101, 1114, 1115, 1116, 1120, 1123, 1162, 1164, 1167, 1173, 1176, 1190, 1191, 1195, 1196, 1198, 1202, 1204, 1210, 1224, 1226, 1233, 1244, 1250, 1254, 1259, 1270, 1272, 1273, 1286, 1290, 1291, 1295, 1311, 1316, 1327, 1340, 1342, 1344, 1347, 1352, 1356, 1364, 1372, 1373, 1378, 1381, 1385, 1395, 1396, 1397, 1398, 1399, 1412, 1422, 1428, 1439, 1449, 1456, 1457, 1461, 1471, 1483, 1488, 1491, 1497, 1525, 1528, 1536, 1552, 1553, 1556, 1566, 1568, 1585, 1590, 1598, 1600, 1601, 1614, 1616, 1618, 1622, 1626, 1627, 1628, 1630, 1636, 1645, 1646, 1654, 1666, 1671, 1685, 1689, 1691, 1695, 1698, 1701, 1710, 1714, 1721, 1729, 1731, 1740, 1744, 1753, 1756, 1762, 1764, 1775, 1779, 1780, 1781, 1788, 1789, 1790, 1792, 1804, 1815, 1817, 1818, 1830, 1834, 1835, 1838, 1840, 1849, 1853, 1860, 1861, 1883, 1890, 1895, 1899, 1901, 1920, 1933, 1935, 1939, 1949, 1959, 1967, 1976, 1977, 1981, 1987, 1999, 2000, 2014, 2022, 2024, 2032, 2037, 2053, 2059, 2065, 2071, 2075, 2078, 2084, 2089, 2101, 2102, 2121, 2127, 2134, 2139, 2141, 2145, 2148, 2156, 2162, 2167, 2173, 2180, 2191, 2193, 2196, 2199, 2204, 2208, 2213, 2216, 2221, 2233, 2234, 2243, 2246, 2254, 2259, 2261, 2263, 2264, 2267, 2271, 2277, 2278, 2311, 2312, 2333, 2338, 2343, 2347, 2348, 2351, 2355, 2357, 2358, 2366, 2367, 2374, 2375, 2376, 2380, 2382, 2394, 2396, 2401, 2405, 2414, 2427, 2434, 2435, 2446, 2448, 2450, 2454, 2455, 2459, 2462, 2466, 2470, 2491, 2496, 2498, 2501, 2502, 2510, 2513, 2522, 2528, 2532, 2536, 2542, 2544, 2546, 2559, 2570, 2578, 2579, 2585, 2591, 2595, 2597, 2598, 2603, 2608, 2610, 2611, 2615, 2618, 2623, 2627, 2630, 2648, 2649, 2653, 2654, 2655, 2657, 2659, 2661, 2662, 2669, 2673, 2683, 2684, 2686, 2693, 2704, 2705, 2709, 2716, 2721, 2722, 2732, 2735, 2737, 2740, 2741, 2745, 2752, 2753, 2761, 2775, 2778, 2780, 2784, 2785, 2787, 2799, 2801, 2804, 2811, 2816, 2818, 2825, 2840, 2844, 2846, 2848, 2856, 2860, 2862, 2871, 2876, 2879, 2897, 2899, 2901, 2902, 2904, 2906, 2908, 2924, 2927, 2933, 2934, 2935]"
