Value,Occurrences,Indices
194,114,"[8, 36, 46, 57, 90, 111, 141, 143, 144, 164, 222, 241, 258, 265, 283, 288, 304, 307, 337, 369, 418, 423, 452, 456, 500, 517, 532, 556, 557, 565, 617, 625, 658, 731, 800, 846, 866, 879, 911, 919, 924, 925, 935, 961, 973, 1007, 1041, 1055, 1082, 1151, 1152, 1202, 1234, 1266, 1268, 1271, 1291, 1327, 1348, 1420, 1421, 1473, 1474, 1500, 1522, 1529, 1598, 1631, 1657, 1666, 1700, 1707, 1709, 1764, 1791, 1825, 1833, 1861, 1863, 1905, 1906, 1931, 1940, 1946, 1978, 1983, 2017, 2020, 2073, 2104, 2119, 2154, 2189, 2223, 2226, 2236, 2269, 2305, 2326, 2351, 2378, 2433, 2486, 2500, 2519, 2526, 2549, 2572, 2579, 2585, 2588, 2601, 2629, 2654]"
195,57,"[22, 76, 101, 176, 197, 199, 232, 290, 291, 311, 383, 386, 388, 462, 504, 507, 588, 629, 665, 833, 859, 869, 974, 992, 1008, 1059, 1162, 1189, 1269, 1459, 1462, 1466, 1501, 1531, 1541, 1583, 1645, 1674, 1706, 1711, 1840, 1911, 2022, 2041, 2074, 2146, 2177, 2224, 2251, 2342, 2431, 2454, 2472, 2583, 2620, 2640, 2693]"
196,49,"[24, 152, 208, 233, 260, 328, 349, 355, 406, 420, 466, 523, 590, 646, 971, 1016, 1019, 1093, 1095, 1292, 1340, 1385, 1423, 1471, 1574, 1622, 1672, 1690, 1715, 1744, 1795, 1798, 1894, 1942, 2110, 2192, 2233, 2249, 2250, 2255, 2301, 2347, 2474, 2499, 2508, 2521, 2591, 2603, 2604]"
197,32,"[34, 55, 108, 123, 175, 213, 319, 396, 416, 715, 808, 897, 929, 1109, 1156, 1240, 1304, 1315, 1380, 1463, 1606, 1685, 1806, 1950, 1953, 1981, 1998, 2014, 2180, 2344, 2403, 2476]"
198,50,"[12, 14, 67, 86, 102, 109, 118, 119, 149, 166, 188, 193, 212, 251, 454, 495, 580, 584, 619, 726, 749, 756, 810, 865, 926, 953, 954, 1006, 1585, 1699, 1701, 1797, 1899, 1902, 1952, 2027, 2071, 2097, 2190, 2203, 2286, 2312, 2366, 2376, 2383, 2422, 2436, 2458, 2561, 2682]"
199,35,"[2, 73, 116, 174, 395, 445, 544, 594, 622, 769, 834, 868, 870, 969, 995, 1089, 1245, 1345, 1346, 1464, 1547, 1793, 1999, 2021, 2048, 2163, 2247, 2381, 2503, 2541, 2566, 2606, 2609, 2633, 2680]"
200,59,"[1, 32, 35, 45, 54, 105, 180, 181, 263, 329, 378, 379, 520, 657, 666, 670, 718, 791, 844, 959, 1005, 1081, 1091, 1135, 1160, 1356, 1413, 1472, 1512, 1619, 1755, 1820, 1856, 1891, 1934, 1944, 1951, 1980, 1986, 1993, 2011, 2015, 2042, 2044, 2108, 2145, 2225, 2260, 2283, 2343, 2345, 2467, 2471, 2501, 2552, 2558, 2569, 2584, 2647]"
201,27,"[4, 25, 138, 182, 453, 461, 478, 569, 591, 830, 838, 1021, 1199, 1295, 1333, 1392, 1661, 1936, 2182, 2207, 2230, 2456, 2517, 2529, 2545, 2672, 2679]"
202,44,"[31, 74, 97, 110, 191, 220, 259, 277, 312, 464, 502, 596, 872, 928, 955, 970, 1010, 1239, 1241, 1277, 1520, 1537, 1671, 1697, 1745, 1787, 1794, 1824, 1897, 1908, 2079, 2086, 2102, 2174, 2191, 2321, 2331, 2420, 2457, 2459, 2602, 2651, 2662, 2677]"
203,40,"[83, 339, 366, 389, 403, 404, 434, 455, 460, 545, 720, 722, 734, 755, 796, 797, 921, 1014, 1127, 1138, 1177, 1296, 1301, 1416, 1436, 1460, 1576, 1682, 1748, 1754, 1805, 1859, 2001, 2032, 2242, 2325, 2354, 2600, 2659, 2681]"
