Value,Occurrences,Indices
63,1,[26]
64,4,"[765, 909, 2447, 2472]"
65,10,"[23, 36, 335, 508, 638, 774, 1691, 1896, 2087, 2569]"
66,2,"[299, 325]"
67,6,"[237, 264, 474, 852, 1481, 1960]"
68,5,"[192, 201, 270, 855, 1328]"
69,5,"[53, 75, 252, 1828, 2479]"
70,3,"[18, 934, 957]"
71,4,"[1101, 1236, 1941, 2152]"
72,5,"[420, 718, 1227, 2343, 2488]"
73,5,"[74, 419, 1710, 2762, 2868]"
74,3,"[1262, 1862, 2867]"
75,4,"[83, 418, 748, 1658]"
76,4,"[165, 1701, 2148, 2829]"
77,4,"[5, 980, 1682, 2102]"
78,5,"[49, 769, 937, 1894, 2627]"
79,6,"[142, 434, 1468, 1569, 1613, 2006]"
80,6,"[29, 1194, 1518, 1689, 2711, 2860]"
81,1,[214]
82,4,"[1233, 1792, 2643, 2677]"
83,3,"[388, 754, 2399]"
84,4,"[99, 780, 1100, 2529]"
85,3,"[358, 381, 2268]"
86,5,"[336, 698, 1562, 2093, 2787]"
87,4,"[631, 1400, 2455, 2608]"
88,7,"[365, 861, 1198, 1271, 2320, 2650, 2775]"
89,10,"[179, 184, 1615, 1897, 2078, 2200, 2323, 2474, 2579, 2743]"
90,2,"[1454, 2045]"
91,8,"[479, 502, 1515, 1845, 1888, 1994, 2398, 2810]"
92,7,"[50, 496, 1504, 1749, 1846, 2050, 2194]"
93,9,"[444, 942, 984, 1157, 1530, 1696, 1754, 2156, 2739]"
94,4,"[63, 154, 202, 902]"
95,6,"[28, 555, 1879, 2036, 2557, 2778]"
96,1,[583]
98,6,"[401, 708, 1550, 1591, 1964, 2382]"
99,4,"[917, 2080, 2358, 2831]"
100,3,"[126, 248, 2808]"
101,3,"[763, 1075, 2610]"
102,8,"[10, 244, 818, 844, 1077, 2618, 2688, 2758]"
103,6,"[296, 363, 407, 641, 982, 1073]"
104,3,"[113, 644, 1570]"
105,9,"[104, 311, 317, 405, 560, 790, 1417, 1443, 2528]"
106,9,"[62, 304, 379, 1024, 1330, 1382, 1407, 2055, 2551]"
