Value,Occurrences,Indices
104,34,"[33, 49, 56, 72, 75, 91, 149, 163, 213, 235, 286, 295, 457, 463, 491, 515, 576, 632, 642, 705, 734, 757, 820, 852, 888, 923, 976, 985, 1045, 1052, 1113, 1126, 1214, 1283]"
105,21,"[52, 54, 199, 262, 302, 359, 374, 402, 528, 571, 586, 625, 630, 655, 663, 761, 824, 966, 1058, 1068, 1122]"
106,26,"[27, 175, 185, 192, 217, 227, 278, 293, 309, 321, 327, 423, 430, 454, 495, 640, 819, 866, 886, 903, 975, 1015, 1129, 1144, 1238, 1244]"
107,26,"[55, 73, 99, 135, 257, 274, 284, 371, 399, 514, 532, 676, 789, 794, 831, 849, 893, 911, 922, 938, 954, 990, 1004, 1107, 1241, 1253]"
108,26,"[23, 60, 210, 219, 329, 484, 547, 557, 597, 602, 631, 699, 724, 802, 809, 827, 890, 951, 1030, 1060, 1118, 1160, 1177, 1207, 1232, 1276]"
109,51,"[1, 28, 95, 203, 245, 255, 281, 285, 311, 342, 352, 356, 366, 369, 387, 411, 425, 472, 487, 493, 496, 513, 550, 600, 637, 702, 726, 728, 770, 823, 836, 909, 926, 1012, 1039, 1090, 1094, 1104, 1124, 1155, 1162, 1171, 1173, 1191, 1249, 1252, 1255, 1262, 1298, 1300, 1301]"
110,44,"[12, 32, 129, 134, 151, 190, 194, 223, 254, 288, 318, 364, 409, 417, 424, 445, 480, 500, 502, 512, 529, 563, 570, 712, 754, 760, 813, 816, 835, 880, 949, 1057, 1064, 1083, 1095, 1117, 1149, 1187, 1209, 1224, 1274, 1291, 1294, 1295]"
111,29,"[37, 59, 71, 105, 115, 184, 249, 253, 326, 401, 419, 420, 437, 674, 701, 755, 854, 855, 899, 901, 934, 978, 1027, 1031, 1034, 1131, 1134, 1167, 1282]"
112,18,"[121, 147, 243, 317, 431, 451, 580, 659, 683, 710, 753, 766, 898, 905, 977, 1038, 1180, 1237]"
113,15,"[136, 176, 270, 361, 438, 660, 786, 790, 989, 992, 1020, 1099, 1116, 1277, 1290]"
114,17,"[40, 62, 82, 441, 530, 633, 634, 680, 735, 764, 845, 910, 940, 961, 999, 1148, 1175]"
115,9,"[79, 191, 316, 490, 624, 720, 1001, 1067, 1075]"
116,10,"[4, 312, 626, 661, 762, 818, 1014, 1183, 1227, 1243]"
117,4,"[34, 594, 798, 937]"
118,48,"[47, 68, 86, 146, 164, 167, 174, 177, 202, 215, 242, 260, 323, 354, 388, 393, 412, 416, 434, 511, 551, 566, 575, 608, 629, 651, 673, 678, 691, 716, 821, 869, 894, 918, 932, 945, 952, 963, 1044, 1047, 1093, 1097, 1108, 1119, 1182, 1197, 1236, 1289]"
119,42,"[14, 90, 93, 97, 162, 189, 248, 275, 353, 376, 413, 442, 499, 544, 564, 583, 599, 623, 682, 723, 731, 752, 759, 775, 778, 779, 783, 793, 830, 856, 876, 924, 965, 971, 994, 1053, 1092, 1123, 1159, 1213, 1248, 1267]"
