Value,Occurrences,Indices
113,5,"[499, 673, 903, 1017, 1333]"
114,29,"[36, 38, 93, 143, 153, 283, 293, 316, 326, 336, 381, 400, 432, 515, 520, 564, 598, 644, 672, 727, 754, 790, 823, 836, 845, 874, 893, 961, 1364]"
115,13,"[55, 62, 97, 270, 340, 391, 417, 523, 731, 869, 880, 962, 1220]"
116,2,"[443, 898]"
117,42,"[68, 144, 164, 177, 210, 268, 300, 302, 311, 375, 415, 479, 508, 541, 580, 643, 662, 703, 733, 776, 815, 860, 930, 996, 999, 1014, 1043, 1080, 1119, 1133, 1150, 1151, 1156, 1170, 1175, 1215, 1320, 1344, 1349, 1355, 1380, 1392]"
118,15,"[271, 277, 322, 382, 654, 707, 728, 756, 757, 858, 900, 976, 1095, 1253, 1343]"
119,13,"[25, 87, 224, 332, 470, 511, 574, 678, 911, 1131, 1200, 1327, 1386]"
120,10,"[44, 235, 301, 745, 783, 856, 1121, 1236, 1351, 1409]"
121,25,"[47, 206, 258, 295, 306, 403, 419, 542, 546, 573, 585, 682, 686, 861, 957, 978, 1030, 1087, 1090, 1099, 1108, 1110, 1141, 1157, 1212]"
122,18,"[239, 281, 298, 528, 552, 597, 616, 765, 864, 967, 1031, 1049, 1195, 1248, 1262, 1336, 1379, 1398]"
123,29,"[78, 124, 203, 346, 365, 468, 518, 565, 594, 607, 649, 661, 665, 701, 775, 806, 809, 829, 901, 943, 944, 952, 981, 982, 1065, 1187, 1291, 1295, 1377]"
124,19,"[18, 170, 183, 217, 373, 418, 422, 676, 690, 767, 780, 810, 994, 1204, 1232, 1238, 1250, 1254, 1257]"
125,27,"[80, 84, 110, 185, 190, 286, 341, 361, 459, 570, 614, 657, 692, 777, 786, 795, 797, 813, 817, 834, 865, 929, 985, 1106, 1107, 1130, 1284]"
126,18,"[157, 179, 394, 529, 531, 562, 575, 910, 939, 1027, 1081, 1098, 1104, 1122, 1125, 1137, 1148, 1242]"
127,31,"[88, 101, 236, 256, 274, 309, 379, 387, 392, 434, 481, 700, 738, 752, 801, 802, 889, 920, 927, 954, 970, 977, 1051, 1142, 1158, 1165, 1292, 1350, 1375, 1394, 1406]"
128,28,"[30, 163, 199, 310, 338, 354, 364, 433, 435, 467, 525, 553, 625, 658, 828, 884, 1042, 1076, 1116, 1146, 1160, 1180, 1190, 1193, 1270, 1299, 1316, 1404]"
129,27,"[41, 45, 109, 192, 207, 290, 345, 416, 426, 428, 646, 713, 719, 730, 736, 737, 826, 839, 857, 899, 966, 984, 1041, 1058, 1311, 1321, 1358]"
130,26,"[8, 15, 19, 175, 369, 533, 560, 628, 638, 789, 904, 916, 945, 1010, 1045, 1072, 1097, 1140, 1245, 1252, 1264, 1310, 1346, 1374, 1395, 1401]"
131,18,"[139, 212, 247, 358, 480, 621, 671, 715, 721, 1008, 1127, 1184, 1219, 1240, 1280, 1297, 1360, 1389]"
132,15,"[56, 58, 166, 180, 241, 280, 407, 705, 712, 720, 739, 841, 1038, 1268, 1308]"
133,24,"[74, 204, 321, 331, 362, 384, 438, 526, 711, 751, 896, 906, 919, 933, 1047, 1057, 1224, 1229, 1265, 1337, 1361, 1373, 1381, 1408]"
134,30,"[34, 96, 146, 228, 287, 308, 347, 351, 360, 469, 606, 617, 743, 785, 846, 876, 881, 890, 921, 922, 935, 946, 988, 1044, 1233, 1294, 1326, 1407, 1411, 1412]"
135,44,"[39, 61, 72, 130, 134, 154, 159, 176, 178, 188, 225, 252, 288, 291, 299, 325, 334, 402, 444, 448, 455, 461, 494, 514, 604, 626, 627, 664, 668, 741, 773, 784, 788, 819, 821, 877, 1078, 1159, 1183, 1217, 1261, 1342, 1384, 1385]"
136,45,"[89, 105, 121, 187, 194, 215, 238, 262, 269, 304, 374, 425, 445, 513, 530, 623, 630, 681, 734, 768, 772, 838, 849, 850, 902, 969, 987, 1000, 1012, 1026, 1036, 1039, 1056, 1111, 1144, 1149, 1168, 1194, 1199, 1210, 1226, 1231, 1288, 1325, 1340]"
137,37,"[140, 198, 266, 318, 404, 436, 555, 558, 569, 572, 633, 640, 656, 688, 723, 755, 764, 812, 827, 886, 948, 1006, 1040, 1163, 1178, 1201, 1237, 1286, 1287, 1318, 1330, 1339, 1382, 1391, 1396, 1397, 1413]"
138,35,"[17, 57, 75, 98, 125, 133, 220, 233, 255, 263, 292, 313, 333, 370, 449, 504, 524, 583, 629, 669, 800, 804, 824, 840, 872, 941, 973, 975, 980, 1062, 1191, 1192, 1285, 1303, 1313]"
139,37,"[7, 22, 40, 42, 129, 260, 294, 363, 409, 431, 452, 500, 502, 540, 578, 609, 615, 618, 666, 702, 718, 742, 744, 753, 905, 965, 995, 1004, 1037, 1064, 1071, 1114, 1132, 1167, 1202, 1247, 1315]"
140,35,"[20, 137, 142, 189, 343, 355, 388, 473, 475, 506, 556, 589, 619, 645, 647, 710, 771, 787, 805, 854, 936, 974, 983, 1088, 1105, 1126, 1147, 1177, 1260, 1278, 1298, 1306, 1319, 1341, 1357]"
141,32,"[35, 43, 135, 172, 211, 464, 484, 503, 593, 641, 725, 732, 792, 852, 862, 871, 894, 950, 968, 1029, 1033, 1109, 1118, 1153, 1162, 1213, 1246, 1251, 1290, 1322, 1362, 1378]"
142,29,"[145, 167, 231, 254, 284, 328, 412, 437, 507, 534, 535, 537, 538, 576, 591, 660, 691, 793, 1013, 1046, 1067, 1075, 1079, 1082, 1134, 1208, 1222, 1234, 1383]"
143,40,"[71, 132, 184, 218, 226, 245, 261, 386, 399, 423, 451, 492, 549, 563, 595, 632, 714, 724, 798, 814, 820, 822, 847, 855, 918, 924, 963, 990, 1005, 1022, 1059, 1139, 1172, 1203, 1211, 1266, 1267, 1275, 1376, 1410]"
144,42,"[21, 27, 33, 102, 112, 116, 147, 149, 200, 303, 353, 398, 466, 493, 517, 600, 611, 620, 637, 683, 693, 750, 925, 979, 986, 1048, 1052, 1084, 1154, 1155, 1166, 1249, 1282, 1296, 1312, 1335, 1347, 1353, 1356, 1367, 1368, 1388]"
145,41,"[9, 59, 73, 111, 114, 216, 232, 237, 317, 337, 359, 378, 408, 441, 485, 491, 501, 505, 561, 588, 596, 602, 663, 697, 808, 866, 914, 926, 953, 1018, 1145, 1173, 1185, 1188, 1207, 1214, 1304, 1314, 1329, 1348, 1359]"
146,28,"[92, 162, 191, 251, 276, 352, 372, 396, 516, 539, 613, 635, 652, 698, 760, 843, 863, 870, 931, 940, 949, 1077, 1091, 1161, 1181, 1218, 1328, 1399]"
147,36,"[32, 60, 99, 160, 174, 219, 272, 278, 279, 320, 350, 454, 482, 522, 568, 610, 653, 685, 748, 774, 796, 825, 917, 1020, 1025, 1092, 1093, 1115, 1124, 1128, 1223, 1241, 1300, 1331, 1334, 1387]"
148,35,"[69, 76, 79, 83, 107, 165, 275, 348, 411, 446, 497, 536, 566, 740, 769, 770, 778, 811, 868, 888, 895, 912, 913, 915, 1055, 1061, 1068, 1174, 1197, 1230, 1271, 1272, 1281, 1324, 1365]"
149,25,"[26, 70, 82, 115, 151, 182, 249, 344, 393, 397, 430, 442, 554, 587, 651, 816, 885, 956, 1021, 1023, 1094, 1143, 1243, 1256, 1405]"
150,25,"[0, 14, 37, 65, 91, 128, 205, 289, 371, 487, 512, 519, 636, 642, 696, 761, 831, 1009, 1015, 1074, 1171, 1176, 1209, 1227, 1354]"
151,26,"[66, 90, 118, 327, 420, 439, 463, 476, 488, 510, 544, 586, 603, 680, 694, 726, 878, 923, 1028, 1086, 1136, 1179, 1182, 1274, 1276, 1277]"
152,20,"[106, 138, 186, 196, 202, 335, 390, 427, 543, 670, 695, 722, 807, 875, 960, 1007, 1100, 1129, 1363, 1390]"
153,27,"[227, 242, 243, 259, 282, 296, 305, 307, 380, 414, 421, 450, 489, 545, 557, 577, 709, 782, 897, 972, 991, 1035, 1050, 1235, 1269, 1323, 1338]"
154,27,"[103, 173, 208, 221, 230, 314, 319, 366, 429, 447, 460, 477, 496, 677, 687, 689, 704, 706, 833, 909, 992, 1060, 1102, 1103, 1135, 1259, 1273]"
155,18,"[3, 46, 100, 127, 152, 158, 389, 401, 490, 747, 837, 892, 934, 958, 993, 1113, 1138, 1164]"
156,19,"[13, 53, 181, 312, 330, 424, 498, 509, 532, 559, 608, 631, 648, 859, 1053, 1054, 1289, 1301, 1305]"
157,18,"[52, 67, 136, 141, 168, 264, 465, 571, 624, 634, 717, 735, 746, 851, 867, 928, 1309, 1400]"
158,14,"[54, 161, 329, 406, 413, 605, 842, 951, 989, 1024, 1083, 1117, 1198, 1293]"
159,20,"[28, 148, 156, 234, 253, 267, 357, 405, 410, 486, 551, 599, 729, 873, 937, 1011, 1019, 1169, 1244, 1307]"
160,21,"[77, 94, 171, 209, 250, 315, 349, 383, 483, 622, 650, 763, 818, 835, 844, 959, 964, 1085, 1196, 1302, 1403]"
161,9,"[150, 223, 527, 684, 879, 1063, 1096, 1225, 1263]"
162,13,"[16, 24, 126, 458, 548, 612, 699, 759, 830, 891, 997, 1001, 1032]"
163,10,"[122, 131, 240, 257, 285, 376, 521, 584, 749, 803]"
164,11,"[12, 64, 117, 385, 395, 887, 1066, 1069, 1205, 1258, 1370]"
165,17,"[1, 4, 339, 367, 567, 592, 848, 882, 907, 938, 955, 1002, 1016, 1070, 1345, 1371, 1393]"
166,9,"[31, 49, 201, 368, 794, 883, 942, 1366, 1402]"
167,6,"[248, 471, 601, 708, 762, 971]"
168,6,"[113, 214, 758, 1034, 1089, 1120]"
169,10,"[6, 244, 456, 478, 674, 781, 998, 1101, 1221, 1332]"
170,6,"[48, 86, 120, 197, 1003, 1279]"
171,8,"[29, 95, 123, 193, 246, 324, 766, 1073]"
172,9,"[155, 342, 579, 655, 779, 853, 1228, 1255, 1352]"
173,9,"[50, 108, 229, 323, 947, 1112, 1123, 1189, 1369]"
174,5,"[213, 222, 453, 590, 1216]"
175,1,[667]
176,4,"[104, 195, 550, 675]"
177,2,"[51, 265]"
178,1,[495]
179,3,"[639, 679, 1206]"
180,4,"[11, 457, 472, 659]"
181,7,"[119, 297, 462, 932, 1152, 1239, 1283]"
182,3,"[5, 1186, 1317]"
183,2,"[273, 908]"
184,1,[169]
185,1,[23]
186,1,[356]
187,3,"[581, 791, 799]"
188,2,"[10, 1372]"
189,1,[63]
190,2,"[547, 716]"
193,1,[2]
194,2,"[377, 582]"
198,2,"[81, 832]"
199,1,[474]
201,1,[85]
204,1,[440]
