Value,Occurrences,Indices
103,75,"[25, 45, 54, 61, 97, 99, 117, 134, 136, 145, 151, 188, 194, 199, 200, 217, 224, 241, 246, 258, 267, 362, 364, 390, 407, 409, 413, 429, 453, 463, 467, 478, 501, 521, 525, 540, 545, 570, 578, 582, 583, 633, 644, 652, 655, 680, 696, 717, 726, 841, 874, 892, 893, 915, 922, 928, 937, 951, 954, 964, 980, 986, 1004, 1021, 1025, 1073, 1095, 1108, 1183, 1208, 1220, 1232, 1235, 1239, 1282]"
104,17,"[38, 89, 101, 142, 165, 290, 396, 438, 544, 596, 970, 1094, 1189, 1206, 1216, 1218, 1283]"
105,62,"[4, 10, 13, 32, 34, 36, 46, 80, 95, 96, 106, 124, 135, 170, 177, 180, 182, 193, 207, 262, 286, 308, 337, 365, 418, 559, 567, 588, 668, 673, 689, 732, 740, 761, 788, 790, 822, 826, 844, 863, 870, 883, 890, 907, 993, 1012, 1026, 1027, 1036, 1053, 1054, 1059, 1126, 1134, 1142, 1177, 1181, 1186, 1228, 1233, 1241, 1246]"
106,70,"[24, 29, 31, 53, 64, 71, 77, 152, 153, 185, 187, 196, 211, 216, 223, 244, 250, 289, 297, 310, 312, 320, 335, 347, 412, 415, 428, 477, 538, 549, 558, 572, 599, 672, 676, 677, 683, 693, 701, 712, 722, 730, 731, 733, 751, 770, 803, 824, 829, 861, 898, 966, 981, 997, 999, 1015, 1042, 1057, 1058, 1065, 1070, 1080, 1081, 1103, 1107, 1111, 1124, 1137, 1182, 1211]"
107,30,"[39, 42, 110, 140, 189, 311, 315, 316, 322, 446, 627, 641, 653, 665, 727, 772, 791, 809, 811, 830, 976, 1033, 1040, 1079, 1118, 1138, 1148, 1185, 1219, 1256]"
108,24,"[55, 169, 242, 278, 345, 349, 370, 444, 445, 447, 480, 495, 523, 531, 573, 763, 765, 794, 815, 852, 891, 904, 1114, 1217]"
109,25,"[1, 7, 59, 63, 88, 138, 149, 157, 309, 342, 372, 443, 475, 504, 506, 539, 563, 662, 707, 743, 1090, 1133, 1135, 1221, 1285]"
110,16,"[60, 192, 209, 324, 325, 402, 416, 431, 441, 569, 640, 857, 864, 933, 1084, 1123]"
111,19,"[11, 79, 115, 156, 266, 293, 340, 384, 442, 518, 704, 736, 843, 932, 934, 1055, 1175, 1191, 1247]"
112,8,"[103, 276, 602, 682, 694, 1165, 1178, 1207]"
113,28,"[27, 74, 75, 114, 203, 255, 294, 326, 456, 470, 528, 709, 747, 752, 760, 773, 798, 806, 827, 832, 879, 1041, 1152, 1161, 1169, 1266, 1271, 1280]"
114,28,"[43, 118, 132, 219, 235, 369, 517, 550, 562, 564, 597, 615, 660, 742, 823, 851, 886, 903, 996, 1011, 1017, 1024, 1176, 1192, 1238, 1245, 1255, 1260]"
115,70,"[8, 44, 57, 58, 73, 107, 113, 154, 162, 220, 238, 252, 253, 291, 336, 354, 358, 393, 397, 398, 465, 471, 476, 479, 485, 503, 533, 548, 586, 595, 613, 614, 630, 632, 638, 674, 691, 692, 711, 775, 780, 781, 785, 787, 797, 810, 816, 848, 855, 866, 899, 916, 924, 927, 959, 962, 968, 971, 985, 995, 1078, 1082, 1101, 1105, 1109, 1145, 1149, 1154, 1254, 1261]"
116,49,"[30, 112, 168, 225, 245, 271, 328, 346, 366, 395, 448, 473, 497, 532, 590, 620, 625, 645, 648, 669, 714, 723, 748, 778, 779, 845, 869, 871, 875, 900, 947, 960, 969, 994, 1035, 1047, 1061, 1086, 1093, 1150, 1210, 1214, 1215, 1230, 1236, 1244, 1249, 1274, 1278]"
117,73,"[9, 33, 70, 72, 111, 195, 197, 208, 210, 215, 254, 330, 338, 399, 403, 417, 421, 433, 437, 494, 513, 515, 530, 535, 546, 555, 574, 579, 603, 624, 629, 651, 671, 688, 698, 699, 728, 745, 753, 754, 755, 756, 758, 768, 793, 807, 812, 818, 836, 858, 880, 929, 942, 945, 950, 963, 992, 1000, 1030, 1045, 1048, 1063, 1066, 1085, 1096, 1104, 1113, 1119, 1162, 1166, 1170, 1250, 1279]"
118,45,"[28, 109, 150, 167, 172, 178, 231, 233, 240, 256, 260, 283, 284, 288, 392, 405, 491, 524, 576, 612, 642, 646, 657, 685, 686, 710, 721, 789, 831, 833, 853, 862, 884, 913, 918, 919, 923, 983, 1016, 1023, 1029, 1106, 1199, 1205, 1212]"
