Value,Occurrences,Indices
49,8,"[2, 3, 4, 7, 9, 12, 19, 21]"
51,24,"[0, 5, 8, 11, 14, 15, 17, 20, 22, 27, 28, 30, 34, 36, 39, 41, 46, 47, 48, 49, 51, 53, 58, 99]"
52,47,"[6, 16, 18, 23, 24, 25, 29, 31, 32, 33, 37, 38, 42, 43, 44, 45, 50, 52, 54, 55, 56, 57, 59, 60, 62, 65, 66, 67, 68, 71, 75, 76, 77, 78, 84, 86, 89, 91, 96, 97, 98, 103, 106, 113, 115, 119, 128]"
54,17,"[1, 26, 40, 61, 88, 92, 100, 102, 108, 126, 127, 131, 132, 134, 140, 141, 148]"
59,3,"[35, 81, 137]"
80,21,"[10, 63, 69, 79, 83, 93, 101, 111, 114, 116, 118, 121, 123, 130, 135, 139, 143, 153, 156, 157, 158]"
82,10,"[13, 110, 112, 122, 136, 149, 155, 162, 163, 165]"
83,5,"[72, 145, 146, 147, 154]"
84,2,"[87, 105]"
85,2,"[82, 138]"
86,1,[109]
87,5,"[94, 104, 107, 120, 161]"
88,1,[144]
89,2,"[73, 151]"
92,1,[125]
93,1,[74]
94,1,[80]
97,3,"[142, 159, 164]"
100,1,[117]
107,3,"[70, 90, 95]"
108,4,"[129, 150, 152, 160]"
109,1,[124]
114,1,[64]
118,1,[133]
134,1,[85]
