Value,Occurrences,Indices
114,42,"[27, 57, 65, 67, 73, 80, 108, 117, 122, 137, 189, 227, 256, 335, 358, 463, 468, 495, 525, 553, 597, 643, 649, 658, 749, 786, 811, 833, 835, 874, 941, 977, 1039, 1043, 1055, 1080, 1081, 1228, 1241, 1272, 1295, 1326]"
115,1,[1347]
116,44,"[22, 51, 71, 100, 106, 110, 128, 190, 203, 208, 213, 217, 243, 273, 320, 350, 405, 451, 474, 489, 545, 596, 642, 719, 731, 740, 756, 773, 782, 791, 808, 873, 1004, 1112, 1146, 1194, 1218, 1220, 1236, 1285, 1303, 1343, 1357, 1370]"
117,58,"[26, 33, 41, 44, 78, 114, 167, 182, 197, 199, 282, 297, 302, 311, 387, 422, 429, 433, 459, 462, 488, 513, 521, 539, 601, 659, 677, 712, 843, 860, 862, 863, 868, 920, 969, 974, 993, 999, 1009, 1012, 1028, 1062, 1068, 1071, 1091, 1093, 1103, 1108, 1110, 1123, 1144, 1224, 1229, 1239, 1316, 1317, 1321, 1349]"
118,77,"[12, 20, 69, 75, 85, 97, 98, 112, 124, 133, 141, 154, 176, 211, 215, 218, 220, 221, 228, 272, 281, 291, 295, 319, 333, 336, 338, 347, 348, 367, 372, 380, 391, 400, 415, 432, 552, 598, 609, 624, 674, 679, 694, 703, 716, 729, 790, 794, 822, 834, 840, 882, 911, 947, 996, 1001, 1008, 1020, 1024, 1026, 1042, 1097, 1098, 1120, 1126, 1142, 1171, 1193, 1206, 1217, 1238, 1255, 1288, 1310, 1334, 1351, 1371]"
119,29,"[25, 34, 87, 142, 155, 165, 184, 300, 506, 707, 858, 887, 923, 924, 929, 936, 978, 1017, 1030, 1083, 1089, 1104, 1122, 1143, 1207, 1282, 1328, 1331, 1338]"
120,50,"[32, 56, 84, 177, 180, 191, 194, 209, 286, 304, 330, 365, 424, 472, 537, 550, 580, 599, 608, 654, 681, 685, 713, 741, 743, 746, 826, 852, 879, 905, 906, 931, 950, 953, 979, 986, 1119, 1130, 1151, 1160, 1179, 1189, 1199, 1203, 1226, 1243, 1261, 1332, 1346, 1363]"
121,37,"[132, 152, 156, 193, 241, 308, 313, 328, 342, 354, 427, 546, 560, 564, 569, 725, 726, 762, 802, 888, 892, 893, 900, 948, 1010, 1016, 1041, 1046, 1072, 1145, 1147, 1172, 1201, 1225, 1240, 1323, 1345]"
122,50,"[36, 39, 60, 62, 83, 93, 94, 105, 201, 248, 263, 267, 277, 280, 332, 398, 412, 431, 514, 534, 544, 555, 575, 592, 697, 825, 837, 850, 854, 866, 934, 981, 1018, 1059, 1084, 1095, 1101, 1116, 1129, 1155, 1204, 1205, 1208, 1216, 1227, 1250, 1280, 1308, 1319, 1324]"
123,32,"[4, 92, 188, 229, 363, 428, 480, 483, 617, 622, 702, 723, 728, 761, 768, 784, 787, 797, 798, 807, 849, 949, 994, 1025, 1044, 1070, 1105, 1118, 1158, 1254, 1306, 1355]"
124,38,"[76, 102, 144, 225, 266, 278, 362, 411, 419, 430, 482, 518, 576, 638, 640, 678, 690, 736, 766, 774, 788, 877, 896, 937, 946, 964, 983, 1051, 1087, 1111, 1114, 1181, 1188, 1264, 1278, 1291, 1305, 1322]"
125,35,"[88, 153, 174, 233, 253, 305, 329, 331, 374, 384, 393, 397, 529, 556, 558, 594, 610, 730, 739, 796, 836, 841, 903, 930, 970, 995, 1058, 1141, 1174, 1177, 1180, 1260, 1337, 1354, 1365]"
126,25,"[125, 139, 172, 186, 239, 312, 381, 383, 589, 590, 605, 657, 718, 775, 831, 847, 894, 921, 967, 1019, 1135, 1139, 1187, 1198, 1368]"
127,19,"[179, 183, 236, 265, 369, 386, 416, 439, 650, 865, 872, 975, 982, 998, 1077, 1304, 1314, 1339, 1358]"
128,25,"[18, 99, 130, 140, 252, 254, 271, 303, 450, 470, 490, 508, 531, 583, 636, 732, 814, 880, 956, 1021, 1115, 1212, 1230, 1244, 1262]"
129,16,"[35, 40, 261, 469, 492, 502, 515, 528, 543, 661, 689, 859, 938, 1162, 1178, 1312]"
130,22,"[157, 207, 292, 322, 461, 479, 486, 496, 509, 530, 627, 832, 1002, 1075, 1127, 1150, 1167, 1170, 1233, 1237, 1297, 1302]"
131,15,"[43, 135, 260, 435, 517, 614, 727, 801, 883, 940, 959, 1184, 1219, 1340, 1353]"
132,19,"[24, 47, 64, 134, 301, 315, 402, 421, 467, 510, 535, 573, 711, 724, 1007, 1099, 1159, 1176, 1265]"
133,18,"[11, 72, 138, 224, 355, 516, 615, 664, 709, 776, 785, 838, 881, 1096, 1100, 1149, 1259, 1268]"
134,35,"[19, 37, 77, 212, 250, 288, 294, 325, 346, 436, 446, 491, 532, 587, 625, 688, 734, 745, 748, 810, 816, 844, 864, 884, 899, 939, 984, 1065, 1138, 1154, 1166, 1247, 1270, 1276, 1320]"
135,31,"[30, 54, 63, 131, 185, 198, 234, 249, 298, 334, 471, 475, 512, 577, 621, 668, 714, 747, 758, 812, 869, 918, 954, 1006, 1047, 1185, 1279, 1298, 1311, 1359, 1360]"
136,38,"[50, 258, 283, 284, 285, 352, 378, 454, 460, 504, 526, 566, 579, 628, 673, 704, 708, 717, 753, 757, 815, 897, 901, 907, 910, 943, 1013, 1038, 1088, 1092, 1106, 1128, 1157, 1211, 1242, 1249, 1281, 1329]"
137,26,"[55, 68, 235, 269, 341, 373, 423, 519, 551, 619, 631, 641, 696, 738, 769, 830, 839, 955, 961, 1045, 1076, 1161, 1307, 1313, 1336, 1350]"
138,34,"[10, 21, 143, 150, 166, 178, 230, 306, 408, 443, 447, 498, 520, 578, 647, 667, 735, 804, 821, 824, 857, 867, 912, 957, 997, 1005, 1086, 1153, 1165, 1222, 1251, 1293, 1309, 1315]"
139,41,"[86, 103, 146, 222, 270, 274, 366, 388, 410, 426, 487, 522, 562, 567, 616, 620, 648, 663, 698, 710, 733, 760, 848, 853, 876, 891, 895, 902, 919, 925, 1022, 1069, 1085, 1168, 1192, 1196, 1223, 1231, 1267, 1318, 1330]"
140,28,"[159, 175, 181, 244, 279, 314, 343, 396, 445, 485, 501, 538, 549, 561, 652, 695, 701, 721, 750, 751, 783, 793, 827, 1027, 1031, 1202, 1246, 1269]"
141,33,"[16, 66, 79, 82, 120, 149, 210, 216, 257, 337, 394, 414, 523, 536, 570, 644, 672, 720, 771, 779, 813, 916, 1032, 1063, 1073, 1163, 1191, 1277, 1290, 1292, 1294, 1325, 1367]"
142,29,"[8, 151, 170, 195, 204, 310, 356, 375, 376, 404, 434, 448, 584, 585, 626, 675, 700, 715, 792, 842, 909, 926, 1040, 1090, 1109, 1140, 1148, 1215, 1287]"
143,25,"[15, 115, 129, 158, 240, 309, 389, 437, 453, 499, 507, 540, 554, 588, 600, 737, 928, 942, 962, 989, 1023, 1067, 1209, 1273, 1296]"
144,38,"[89, 116, 171, 173, 187, 214, 289, 307, 321, 370, 449, 572, 611, 665, 680, 686, 706, 770, 823, 829, 871, 898, 927, 951, 960, 963, 1014, 1057, 1082, 1256, 1263, 1271, 1275, 1299, 1300, 1333, 1356, 1369]"
145,19,"[70, 163, 223, 417, 465, 476, 478, 603, 623, 662, 693, 803, 933, 985, 990, 1049, 1133, 1253, 1283]"
146,19,"[46, 126, 164, 262, 318, 360, 364, 368, 466, 477, 484, 767, 806, 965, 1060, 1173, 1257, 1352, 1366]"
147,12,"[38, 123, 565, 568, 629, 634, 966, 973, 991, 1125, 1235, 1327]"
148,27,"[53, 107, 111, 127, 148, 200, 247, 323, 327, 425, 442, 524, 651, 669, 684, 687, 754, 781, 800, 845, 889, 980, 1061, 1124, 1190, 1248, 1301]"
149,25,"[118, 196, 219, 296, 357, 438, 464, 481, 655, 691, 705, 764, 795, 878, 908, 1029, 1078, 1121, 1137, 1152, 1156, 1252, 1335, 1341, 1348]"
150,27,"[3, 9, 14, 58, 101, 226, 317, 339, 377, 399, 401, 574, 618, 645, 692, 817, 846, 856, 922, 945, 1003, 1036, 1064, 1136, 1197, 1258, 1286]"
151,17,"[52, 96, 145, 242, 287, 353, 505, 646, 752, 809, 851, 886, 914, 972, 1054, 1186, 1284]"
152,18,"[169, 245, 276, 293, 349, 385, 420, 440, 500, 593, 606, 639, 682, 699, 722, 777, 904, 1102]"
153,18,"[74, 206, 351, 361, 371, 379, 403, 547, 660, 885, 915, 944, 971, 1011, 1048, 1131, 1164, 1175]"
154,13,"[29, 147, 168, 237, 390, 441, 557, 632, 861, 1053, 1132, 1266, 1274]"
155,19,"[299, 382, 457, 571, 742, 744, 765, 828, 855, 875, 958, 992, 1015, 1033, 1107, 1169, 1245, 1289, 1362]"
156,14,"[23, 28, 113, 119, 202, 406, 503, 541, 591, 670, 913, 952, 1182, 1234]"
