Value,Occurrences,Indices
98,61,"[17, 35, 60, 63, 82, 100, 106, 166, 194, 196, 220, 222, 241, 259, 264, 267, 274, 296, 299, 303, 305, 306, 313, 315, 352, 379, 421, 451, 486, 495, 513, 530, 542, 585, 599, 607, 654, 689, 700, 712, 724, 726, 733, 743, 797, 857, 911, 915, 951, 953, 963, 1063, 1064, 1125, 1130, 1140, 1220, 1233, 1248, 1270, 1288]"
99,7,"[50, 69, 108, 223, 276, 327, 512]"
100,16,"[38, 48, 89, 437, 452, 527, 541, 653, 809, 829, 839, 852, 977, 1078, 1095, 1324]"
101,13,"[107, 145, 414, 443, 444, 721, 879, 885, 940, 946, 1022, 1052, 1232]"
102,13,"[36, 159, 208, 249, 372, 488, 523, 730, 779, 843, 882, 1143, 1147]"
103,12,"[34, 37, 105, 110, 133, 280, 455, 529, 610, 836, 1038, 1054]"
104,7,"[229, 419, 706, 972, 1017, 1124, 1187]"
105,6,"[28, 137, 441, 677, 1175, 1306]"
106,9,"[169, 193, 291, 647, 663, 711, 758, 813, 1198]"
107,18,"[113, 314, 384, 470, 506, 554, 636, 666, 756, 791, 874, 909, 914, 930, 959, 1066, 1148, 1168]"
108,14,"[186, 202, 244, 277, 532, 876, 931, 939, 999, 1047, 1076, 1087, 1283, 1296]"
109,16,"[5, 45, 86, 120, 184, 248, 289, 294, 395, 505, 516, 630, 684, 853, 1039, 1056]"
110,25,"[39, 46, 78, 116, 234, 286, 293, 326, 355, 468, 481, 545, 565, 627, 782, 825, 969, 975, 1030, 1081, 1112, 1116, 1136, 1169, 1274]"
111,22,"[62, 92, 93, 96, 203, 309, 316, 362, 366, 412, 574, 589, 600, 667, 673, 719, 764, 794, 860, 919, 1050, 1278]"
112,42,"[9, 26, 40, 95, 164, 189, 207, 256, 283, 319, 323, 433, 458, 462, 483, 489, 504, 515, 576, 580, 757, 770, 823, 864, 867, 898, 960, 971, 979, 1008, 1105, 1138, 1152, 1158, 1235, 1243, 1245, 1250, 1251, 1279, 1281, 1309]"
113,59,"[2, 47, 81, 94, 170, 175, 197, 198, 199, 221, 230, 254, 255, 275, 279, 287, 317, 345, 357, 358, 398, 408, 409, 420, 471, 478, 487, 502, 584, 603, 665, 672, 686, 725, 749, 765, 783, 796, 847, 900, 913, 918, 934, 981, 1014, 1021, 1051, 1057, 1060, 1141, 1162, 1197, 1205, 1247, 1252, 1273, 1276, 1303, 1329]"
114,94,"[4, 87, 88, 90, 115, 127, 128, 134, 136, 140, 142, 143, 146, 147, 156, 160, 171, 176, 177, 180, 181, 183, 200, 201, 213, 237, 324, 346, 354, 361, 373, 375, 376, 383, 387, 392, 425, 427, 434, 480, 501, 519, 526, 553, 566, 571, 637, 638, 660, 678, 682, 688, 710, 736, 738, 745, 759, 778, 784, 786, 799, 810, 820, 848, 865, 883, 917, 926, 964, 985, 1010, 1026, 1069, 1071, 1133, 1150, 1163, 1180, 1200, 1212, 1217, 1234, 1256, 1258, 1265, 1286, 1293, 1300, 1308, 1312, 1314, 1317, 1319, 1326]"
