Value,Occurrences,Indices
93,31,"[23, 27, 48, 62, 78, 79, 87, 96, 100, 149, 158, 161, 175, 203, 212, 221, 247, 282, 301, 372, 381, 386, 396, 441, 530, 617, 626, 646, 696, 830, 1000]"
94,63,"[0, 28, 39, 40, 42, 58, 64, 65, 81, 85, 102, 104, 113, 122, 132, 137, 148, 159, 180, 181, 213, 224, 238, 264, 268, 281, 308, 329, 336, 339, 340, 342, 344, 349, 354, 366, 378, 407, 421, 431, 469, 488, 493, 518, 528, 549, 564, 603, 608, 642, 660, 663, 664, 692, 698, 740, 744, 764, 834, 872, 879, 941, 993]"
96,89,"[4, 13, 17, 50, 52, 57, 66, 72, 77, 83, 94, 97, 105, 128, 135, 142, 151, 154, 183, 186, 188, 189, 190, 200, 204, 222, 225, 228, 242, 246, 255, 259, 269, 276, 278, 289, 294, 303, 356, 382, 384, 393, 398, 402, 412, 422, 423, 427, 428, 429, 445, 464, 482, 509, 515, 527, 539, 551, 565, 613, 634, 638, 643, 651, 654, 671, 679, 681, 724, 741, 785, 790, 795, 806, 811, 823, 827, 871, 873, 876, 882, 890, 895, 912, 954, 961, 994, 1004, 1005]"
97,39,"[9, 25, 108, 124, 129, 143, 144, 167, 182, 184, 201, 236, 243, 253, 258, 346, 357, 380, 425, 494, 514, 542, 568, 571, 591, 594, 687, 737, 786, 788, 824, 842, 853, 937, 952, 958, 962, 988, 1003]"
98,32,"[24, 71, 73, 109, 150, 249, 257, 284, 413, 414, 426, 456, 468, 520, 544, 567, 578, 579, 586, 589, 602, 627, 727, 775, 812, 836, 858, 866, 918, 928, 938, 1009]"
99,48,"[15, 43, 47, 75, 91, 98, 119, 208, 232, 241, 256, 283, 335, 350, 358, 389, 390, 394, 405, 408, 449, 463, 472, 479, 529, 541, 547, 585, 628, 688, 693, 719, 760, 787, 794, 803, 821, 832, 841, 854, 862, 914, 920, 932, 944, 964, 967, 969]"
100,243,"[2, 8, 11, 19, 21, 22, 32, 33, 35, 37, 38, 44, 53, 54, 63, 69, 70, 80, 84, 93, 101, 103, 112, 116, 118, 121, 131, 133, 136, 147, 157, 162, 170, 174, 177, 178, 193, 195, 196, 198, 211, 218, 220, 227, 229, 231, 234, 245, 248, 250, 251, 263, 265, 266, 272, 274, 277, 279, 280, 285, 286, 287, 288, 291, 293, 295, 298, 299, 311, 312, 317, 318, 319, 322, 325, 327, 328, 331, 334, 337, 338, 347, 348, 355, 359, 362, 365, 371, 376, 383, 385, 388, 397, 403, 415, 417, 420, 424, 438, 439, 440, 443, 446, 454, 455, 460, 461, 466, 470, 478, 486, 489, 490, 491, 492, 495, 500, 507, 511, 513, 517, 521, 535, 538, 545, 548, 554, 561, 566, 569, 572, 581, 583, 587, 588, 593, 598, 599, 607, 609, 610, 614, 625, 630, 631, 632, 636, 648, 658, 661, 666, 668, 675, 680, 691, 694, 700, 701, 702, 707, 717, 720, 722, 723, 726, 728, 730, 743, 745, 746, 749, 752, 753, 759, 772, 773, 779, 782, 789, 792, 793, 797, 800, 801, 813, 822, 829, 833, 838, 839, 844, 848, 850, 855, 856, 859, 860, 864, 868, 874, 877, 892, 893, 894, 896, 897, 898, 900, 902, 903, 906, 907, 908, 913, 916, 923, 926, 927, 933, 934, 936, 940, 942, 946, 947, 948, 951, 953, 956, 957, 965, 966, 968, 975, 980, 981, 982, 983, 990, 995, 996, 997, 1006]"
101,71,"[3, 10, 49, 55, 82, 125, 127, 155, 164, 171, 192, 205, 237, 239, 254, 271, 326, 343, 351, 373, 375, 392, 435, 462, 477, 498, 512, 519, 523, 524, 557, 570, 573, 582, 595, 596, 606, 611, 619, 622, 633, 647, 650, 665, 669, 670, 713, 748, 756, 761, 762, 769, 791, 796, 804, 809, 817, 819, 840, 843, 881, 919, 924, 925, 929, 950, 978, 985, 987, 989, 998]"
102,89,"[5, 7, 34, 67, 107, 111, 115, 117, 126, 130, 134, 141, 168, 176, 187, 191, 223, 260, 262, 267, 270, 273, 275, 292, 306, 307, 309, 314, 345, 399, 401, 430, 433, 436, 442, 444, 451, 457, 458, 467, 471, 475, 476, 487, 504, 506, 508, 522, 533, 534, 540, 546, 575, 577, 600, 601, 624, 635, 672, 686, 690, 695, 705, 711, 718, 729, 738, 747, 750, 758, 766, 770, 774, 776, 781, 784, 816, 818, 825, 845, 861, 911, 931, 935, 943, 959, 974, 1007, 1008]"
103,48,"[12, 29, 61, 74, 86, 99, 140, 197, 199, 206, 207, 210, 226, 230, 300, 305, 341, 416, 452, 485, 503, 516, 531, 553, 560, 574, 612, 618, 620, 629, 653, 683, 704, 733, 739, 742, 765, 768, 846, 878, 885, 891, 921, 930, 945, 960, 973, 1001]"
